,Query,Cosine Similarity
0,flu vaccine nhs,1.0000001
1,flu vaccine uk,0.94761175
2,flu vaccine,0.90067625
3,flu vaccine 2018 uk,0.8868416
4,flu vaccine 2017 uk,0.8799573
5,flu vaccines,0.8777668
6,flu vaccination,0.8491019
7,influenza vaccine,0.84153557
8,the flu vaccine,0.83863425
9,flu nhs,0.83166504
10,flu jab nhs,0.82693046
11,flu vaccine 2018,0.82632315
12,flu vaccine 2019,0.8258843
13,flu vaccine pharmacy,0.8164535
14,flu vaccinations,0.81614286
15,nhs vaccine,0.8158872
16,flu vaccine 2017,0.81556606
17,what is the flu vaccine,0.8083453
18,flu immunisation,0.80269206
19,free flu vaccine,0.80240726
20,influenza vaccination,0.79992986
21,flu shot,0.79943526
22,flu vaccine 2020,0.79845345
23,flu vaccine 2016,0.7983586
24,flu vaccine for children,0.79693925
25,flu vaccine for child,0.79118294
26,flu jab vaccine,0.79088676
27,nasal flu vaccine,0.7832087
28,australian flu nhs,0.7815336
29,child flu vaccine,0.7801978
30,flu jab uk,0.7797757
31,flu vaccine near me,0.77868396
32,flu vaccine children,0.7783673
33,flu vaccine pregnant,0.77712524
34,flu vaccine pregnancy,0.7757056
35,book flu vaccine,0.77078664
36,live flu vaccine,0.7681007
37,aussie flu nhs,0.766747
38,seasonal flu vaccine,0.76583385
39,swine flu vaccine,0.76211536
40,flu medicine uk,0.7602954
41,flu vaccine in pregnancy,0.75568074
42,flu vaccine baby,0.7547664
43,flu vaccine for pregnant,0.75150204
44,nhs direct flu,0.7513833
45,flu injection,0.750234
46,flu vaccine when pregnant,0.74675786
47,flu vaccine ingredients,0.7398808
48,nhs covid vaccine,0.7344725
49,flu 2018 uk,0.7312361
50,the flu shot,0.7311412
51,flu in uk,0.73081964
52,uk vaccine,0.72734636
53,swine flu vaccination,0.7248352
54,uk flu,0.7219694
55,flu 2017 uk,0.7216355
56,nhs covid vaccination,0.7156047
57,nhs vaccine booking,0.71326435
58,flu injections,0.712211
59,boots flu vaccine,0.7097254
60,child nasal flu vaccine,0.70930487
61,flu jab 2021,0.70636654
62,best flu medicine uk,0.7063086
63,free flu shots,0.70500374
64,vaccine,0.7031839
65,vaccinations uk,0.70280325
66,swine flu nhs,0.70165336
67,the flu jab,0.69835496
68,flu jab 2018,0.6971289
69,flu jab,0.6962268
70,flu jab 2020,0.6944988
71,bird flu vaccine,0.6937232
72,flu season uk,0.69069093
73,flu jabs,0.6891465
74,nhs child flu,0.6890956
75,flu jab 2017,0.6882465
76,get flu jab,0.682117
77,cure flu,0.6817258
78,flu remedies uk,0.6809168
79,flu clinic,0.68054724
80,treat flu,0.68033963
81,flu symptoms nhs,0.6801382
82,cold or flu nhs,0.67867094
83,flu medicine,0.6778297
84,influenza,0.6778114
85,flu mask,0.6778112
86,flu prevention,0.67541623
87,flu jab 2016,0.67267793
88,aussie flu uk,0.6688287
89,book a flu jab,0.6685185
90,free flu jab,0.66617095
91,flu jab for children,0.66553867
92,treating flu,0.6648524
93,winter flu jab,0.664466
94,stomach flu nhs,0.66380894
95,flu deaths 2020 uk,0.66317314
96,flu,0.66139305
97,free flu jabs,0.66056085
98,sainsburys flu jab,0.6604257
99,flu 2018,0.6598305
100,flu london,0.65831363
101,ebola vaccine,0.6576396
102,flu relief,0.6575978
103,flu virus,0.65687144
104,flu deaths uk,0.6564547
105,distributing vaccines and treatments for covid-19 and flu,0.6561992
106,flu jab for child,0.6559181
107,pharmacy flu jab,0.65573466
108,flu vaccine side effects,0.65459085
109,vaccination,0.6545416
110,flu outbreak,0.6537051
111,flu infection,0.65252805
112,flu cold,0.65027976
113,flu treatment,0.6490935
114,flu shot reactions,0.64827484
115,booking flu jab,0.6482688
116,covid vaccine uk,0.64766335
117,oxford vaccine,0.6459845
118,flu remedy,0.6433307
119,covid 19 vaccine,0.63934934
120,swine flu uk,0.63769925
121,covid19 vaccine,0.63608646
122,cdc flu,0.63588715
123,private flu jab,0.6341599
124,medicine for flu,0.63399595
125,australian flu,0.63394547
126,flu jab child,0.6338873
127,flu vaccination side effects,0.6334705
128,uk flu deaths 2019,0.63333744
129,flu epidemic,0.6332805
130,flu jab with a cold,0.63292766
131,side effects of flu vaccine,0.63272357
132,best flu medicine,0.6320982
133,pneumonia vaccine,0.63185596
134,cure for flu,0.63158643
135,book flu jab,0.6311497
136,latest flu virus,0.63014746
137,flu advice,0.6287472
138,flu recovery,0.6277535
139,where can i get flu jab,0.62596685
140,influenza treatment,0.62546134
141,get rid of flu,0.62536013
142,baby flu jab,0.6251023
143,influenza b,0.62455684
144,new flu,0.6244774
145,influenza virus,0.62398475
146,australian flu symptoms nhs,0.62373745
147,book a vaccine,0.62311304
148,should i get a flu shot,0.6222451
149,flu antibiotics,0.62189794
150,flu jab asda,0.6215972
151,flu wiki,0.62064403
152,is the flu jab safe,0.6206376
153,flu jab cost,0.61899686
154,flu bug,0.6171888
155,flu statistics,0.6171762
156,common flu,0.61642087
157,flu tracker,0.6162739
158,flu jab near me,0.61588395
159,flu incubation,0.6150718
160,latest flu,0.6149584
161,flu spray,0.6139282
162,vaccine booking,0.612119
163,tesco pharmacy flu jab,0.61206925
164,flu after flu jab,0.6120643
165,flu tablets,0.6102785
166,flu contagious,0.60988903
167,best thing for flu,0.60980874
168,vaccinated,0.6098074
169,influenza pandemic,0.6096828
170,what medicine for flu,0.6086832
171,cheerleader flu shot,0.6074903
172,best medicine for flu,0.607391
173,viral flu,0.60694975
174,flu update,0.6066648
175,vaccine a,0.6065947
176,flu game,0.60650325
177,swine flu jab,0.6061297
178,coronavirus uk vaccine,0.604187
179,lloyds flu jab,0.6036626
180,flu symptoms uk,0.60360515
181,flu test,0.6029295
182,type a flu,0.6018441
183,flu jab pregnancy,0.60147
184,tesco flu jab,0.6010246
185,have the flu,0.60083413
186,flu cough,0.6006309
187,flu vaccine child side effects,0.6002298
188,should i have the flu jab,0.5991887
189,man flu,0.5988971
190,flu a,0.5988678
191,best cure for flu,0.5987376
192,google flu,0.59845424
193,aussie flu symptoms nhs,0.5984207
194,vaccinations,0.5973091
195,current flu virus,0.5971929
196,flu remedies,0.5968555
197,vaccine schedule,0.5968496
198,flu jab in pregnancy,0.5967094
199,24 hour flu,0.59654063
200,what is flu,0.5963928
201,flu trends,0.59591144
202,flu jab pregnant,0.59566385
203,antiviral for flu,0.5956401
204,flu deaths 2020,0.59446305
205,what is a vaccine,0.594067
206,severe flu,0.59384465
207,what is the flu,0.5936523
208,lloyds pharmacy flu jab,0.5934421
209,flu in adults,0.59339994
210,antivirals for flu,0.5933396
211,aussie flu,0.59261703
212,flu definition,0.5924988
213,flu season,0.59245443
214,seasonal flu,0.59242463
215,flu jab reactions,0.59228545
216,covid vaccine,0.59146225
217,food for flu,0.5910095
218,flu deaths 2019,0.5894232
219,what to take for flu,0.58887136
220,vaccine news,0.5887955
221,flu deaths,0.5884291
222,flu map,0.5881522
223,antibiotics for flu,0.5879285
224,flu children,0.58779514
225,medication for flu,0.58766294
226,influenza b virus,0.5873141
227,flu jab while pregnant,0.58622503
228,the vaccine book,0.5859152
229,smallpox vaccine,0.585864
230,flu complications,0.5857772
231,rsv vaccine,0.58535326
232,flu nasal spray,0.584944
233,aids vaccine,0.58404166
234,is flu contagious,0.5838957
235,recover from flu,0.5835333
236,flu symptom checker,0.58350146
237,influenza a,0.58324015
238,bird flu uk,0.5824717
239,flu jab when pregnant,0.5820335
240,pfizer covid vaccine,0.5818931
241,swine influenza,0.58181083
242,flu outbreaks,0.5815605
243,flu going around,0.5813277
244,the flu,0.58094347
245,winter flu,0.5807812
246,flu in children,0.5797898
247,treatment for flu,0.5797539
248,vaccine pregnancy,0.57879055
249,vaccine calculator,0.5784043
250,flu contagious period,0.57800126
251,flu like virus,0.5772294
252,how to cure flu,0.5765399
253,reaction to flu jab,0.5763277
254,yellow fever vaccine,0.5756992
255,nasal flu,0.5749176
256,what is influenza,0.5749029
257,cancer vaccine,0.5721518
258,swine flu cdc,0.5719434
259,best flu remedies,0.5718502
260,recovering from flu,0.571379
261,how to prevent flu,0.5710904
262,cold flu medicine,0.57073766
263,flu temperature,0.5706403
264,when is flu season,0.56991297
265,vaccination schedule,0.569536
266,flu duration,0.56948125
267,types of flu,0.5685267
268,superdrug flu jab,0.56850076
269,vaccine ingredients,0.56849957
270,flu jokes,0.5684589
271,child flu spray,0.56823933
272,is the flu contagious,0.5662397
273,pregnant flu,0.5653041
274,best way to get rid of flu,0.56446826
275,how to cure the flu,0.5641511
276,meningitis vaccine,0.5638009
277,flu game 12,0.56128454
278,antiviral drugs for flu,0.56073564
279,recovery from flu,0.5598922
280,how to treat flu,0.559694
281,tuberculosis vaccine,0.558346
282,fever flu,0.55777955
283,child with flu,0.55751956
284,malaria vaccine,0.5575056
285,swine flu vaccine side effects,0.55701643
286,vaccine deaths,0.5568167
287,flu in pregnancy,0.5566498
288,flu death,0.5562558
289,hiv vaccine,0.556185
290,man flu meme,0.55570865
291,hepatitis vaccine,0.55556303
292,fever nhs,0.5555191
293,effects of flu jab,0.555431
294,flu meme,0.55524635
295,astrazeneca vaccine,0.5546885
296,whooping cough vaccine,0.5544749
297,flu pain,0.5544554
298,pfizer vaccine,0.55443156
299,how many people die of flu each year uk,0.5542568
300,flu symptons,0.55373764
301,flu in babies,0.55321765
302,flu camp,0.5531254
303,covid vaccine near me,0.55304885
304,bird flu wales,0.55290073
305,cold vs flu,0.552031
306,immunization,0.55134976
307,booster vaccine,0.5500706
308,when is flu contagious,0.549983
309,swine flu virus,0.5497875
310,swine flu 2016,0.5496349
311,ebola uk,0.54941213
312,avian influenza,0.54937226
313,pregnancy flu,0.54829603
314,pandemic flu,0.5480193
315,swin flu,0.5474018
316,how to treat the flu,0.5459675
317,remedies for flu,0.5454955
318,flu effects,0.5452826
319,childhood vaccinations,0.5450135
320,tb vaccine,0.5446676
321,swine flu cases,0.5441925
322,influenza type a,0.5438931
323,flu while pregnant,0.54347575
324,flu during pregnancy,0.5431391
325,best remedies for flu,0.5426886
326,flu last,0.5422722
327,flu when pregnant,0.54206324
328,swine flu,0.54202497
329,swine flu treatment,0.5408203
330,nhs pneumonia,0.539647
331,having the flu,0.53864384
332,book covid vaccine,0.53850836
333,mild flu,0.5383859
334,flu or covid,0.53813463
335,how to get rid of flu,0.5379378
336,how to get rid of a flu,0.5379149
337,la influenza,0.5378769
338,dtp vaccine,0.5375295
339,google flu trends,0.53747654
340,hay fever injection,0.53674674
341,swine flu spread,0.5365766
342,norovirus vaccine,0.53638625
343,flu incubation period,0.53561854
344,bcg vaccine,0.53529173
345,flu symtoms,0.5351664
346,hbv vaccine,0.53488326
347,chicken pox vaccine,0.5346822
348,hep a vaccine,0.5344824
349,how to get rid of the flu,0.53378147
350,child flu,0.53341293
351,summer flu,0.53338987
352,yellow fever vaccination,0.53326654
353,got flu,0.53321046
354,swine flu update,0.5331834
355,the swine flu,0.5330347
356,covid booster vaccine,0.53301644
357,flu shot side effects,0.53255963
358,smallpox vaccination,0.53249586
359,flu home remedies,0.53249437
360,flu vs coronavirus,0.5323752
361,news flu,0.532333
362,measles vaccine,0.531996
363,rotavirus vaccine,0.5317035
364,flu and cough,0.53102213
365,freshers flu,0.53081644
366,h1n1 influenza,0.53078234
367,difference between a cold and flu,0.53075033
368,bad flu,0.52963066
369,swine flu antiviral,0.5293078
370,coronavirus vaccine,0.5290294
371,nhs covid19,0.528657
372,boots flu jab 2020,0.5285546
373,what is influenza b,0.5280124
374,immunisations,0.5270319
375,dtap vaccine,0.5268329
376,pregnancy and flu,0.5265416
377,i have flu,0.5254389
378,man flu video,0.52498055
379,flu in early pregnancy,0.52497697
380,swine flu outbreak,0.5248536
381,dpt vaccine,0.52441907
382,swine flu pandemic,0.5242717
383,is it flu or cold,0.52391255
384,baby flu,0.5239109
385,chickenpox vaccine,0.5233321
386,stages of flu,0.5231848
387,ipv vaccine,0.5229671
388,flu headache,0.5228367
389,gardasil vaccine,0.522809
390,flu and pneumonia,0.5221484
391,salk vaccine,0.5216455
392,stomach flu contagious,0.52114236
393,cough after flu,0.5211238
394,flu symptoms 2018,0.52091837
395,hib vaccine,0.52006733
396,tattoo flu,0.51991737
397,how to recover from flu,0.5198811
398,h1n1 flu,0.51981676
399,immunologist,0.51969457
400,side effects of flu shot,0.5194709
401,swine flu latest,0.51916504
402,cough nhs,0.51885784
403,about swine flu,0.5184754
404,meningococcal vaccine,0.5182107
405,flu symptoms 2019,0.51755905
406,hong kong flu,0.51738274
407,tummy flu,0.51725554
408,flu like,0.516863
409,hpv vaccine,0.51654655
410,avian flu,0.5165319
411,pneumonia shot,0.51640433
412,home remedies for flu,0.51623285
413,flu symptoms 2017,0.5161184
414,hep b vaccine,0.51580334
415,after effects of flu,0.5157062
416,fever injection,0.51561064
417,after the flu,0.51544183
418,small pox vaccine,0.5149574
419,spanish influenza,0.5147668
420,herpes vaccine,0.514127
421,hepatitis a vaccine,0.51312435
422,measles nhs,0.5128005
423,the spanish flu,0.5123522
424,measles vaccination,0.51229477
425,boots flu jabs,0.5120646
426,flu recovery time,0.51184845
427,flu or coronavirus,0.5116831
428,single measles vaccine,0.51159346
429,incubation period for flu,0.51069623
430,how long flu,0.5104703
431,typhoid vaccine,0.5103433
432,hepatitis b vaccine,0.5101505
433,best cold and flu medicine,0.5101265
434,cold or flu quiz,0.50931484
435,flu in toddlers,0.508984
436,flu sore throat,0.5087207
437,asian flu,0.5086154
438,swine flu game,0.5084097
439,nhs norovirus,0.50830036
440,flu symptoms,0.5077418
441,cold and flu relief,0.50750786
442,signs of flu,0.50701123
443,bird flu virus,0.50700927
444,swine flu news,0.506883
445,signs of the flu,0.5067956
446,flu signs,0.5064288
447,spanish flu pandemic,0.5062225
448,flu injection side effects,0.50609803
449,swine flu epidemic,0.5055009
450,flu diarrhea,0.50523126
451,how to get over flu,0.50439256
452,boots flu jab,0.50423026
453,cold and flu medicine,0.5032445
454,what is man flu,0.5029887
455,anthrax vaccine,0.502667
456,do i have flu,0.5025718
457,natural flu remedies,0.50213623
458,nhs covid,0.50209004
459,polio vaccine,0.5020744
460,shingles vaccine,0.5018008
461,influenza symptoms,0.50158644
462,bird flu,0.50145787
463,difference between cold and flu,0.5013382
464,flu symptoms 2016,0.5011664
465,book vaccine,0.5010592
466,intestinal flu,0.5009726
467,flu symptom,0.5009601
468,how to get rid of flu fast,0.5007555
469,swine flu map,0.5003804
470,natural remedies for flu,0.5001127
471,best medicine for cold and flu,0.49971974
472,flu or cold test,0.49946785
473,nhs scarlet fever,0.49889475
474,how long is the flu contagious,0.49883407
475,rabies vaccine,0.4985591
476,flu symptoms 2022,0.49852014
477,do i have the flu,0.49798477
478,how to get over the flu,0.4977808
479,flu or cold or covid,0.49750093
480,have i got flu,0.49685612
481,dog flu,0.49666572
482,how long is flu contagious,0.496397
483,hpv vaccination,0.49613532
484,hay fever uk,0.49603024
485,h1n1 vaccine,0.4958238
486,moderna vaccine,0.4956742
487,tetanus vaccine,0.4954681
488,symptom of flu,0.4951675
489,flu virus symptoms,0.49449357
490,cervical cancer vaccine,0.49424854
491,immunity,0.4939536
492,cold and flu,0.49370053
493,mmr vaccine,0.49352556
494,shingles vaccination,0.49348634
495,health nhs,0.4934099
496,flu jab symptoms,0.4926949
497,nhs,0.49184006
498,spanish flu epidemic,0.49109024
499,avian flu latest,0.49108073
500,how many people die from flu,0.49103412
501,puppy vaccinations,0.4902471
502,nhs hayfever,0.48996115
503,vaccines and autism,0.48980257
504,flu aches,0.48962334
505,the mmr vaccine,0.48951966
506,symptoms of flu,0.4890676
507,chicken pox vaccination,0.48904806
508,dog vaccinations,0.48896462
509,flu jab side effects 2018,0.48838377
510,bird flu restrictions,0.4877162
511,stomach flu,0.4874793
512,cold or flu,0.48697916
513,green book influenza,0.48681122
514,colds and flu,0.48656517
515,aussie flu symptoms 2017,0.48629105
516,do i have flu or cold,0.48618302
517,coronavirus nhs,0.4860156
518,spanish flu,0.48476672
519,symptoms of the flu,0.48463744
520,flu how long does it last,0.48447388
521,how long are you contagious with the flu,0.4841593
522,flu and diarrhea,0.48387665
523,ebola cure,0.48382175
524,the flu symptoms,0.4834909
525,hepatitis c vaccine,0.48224968
526,flu mexico,0.4818484
527,flu symptoms in adults,0.4810667
528,cold and flu tablets,0.48032123
529,australian flu symptoms,0.479992
530,do i have a cold or flu,0.47995025
531,pig flu,0.47988215
532,hepatitis b vaccination,0.47963455
533,what is the swine flu,0.4795851
534,bird flu pandemic,0.47928628
535,rubella vaccine,0.47870046
536,hep b vaccine schedule,0.47812048
537,nhs england,0.4780264
538,virus ebola,0.47717386
539,flue,0.4770707
540,cold flu or covid,0.47575325
541,baby swine flu,0.47483495
542,swine flu facts,0.47420332
543,child immunization schedule,0.4741576
544,i have a flu,0.4721278
545,what to eat when you have the flu,0.47203222
546,beechams flu plus,0.47184378
547,coronavirus cold or flu,0.47078857
548,i have the flu,0.46980155
549,bird flu 2022,0.46929574
550,flu symptoms last,0.46921444
551,swine flu symptoms checker,0.4690718
552,hay fever season uk,0.46866825
553,can you take cold and flu when pregnant,0.4675569
554,what are flu symptoms,0.4669526
555,flu symptoms child,0.46694624
556,bird flu 2023,0.46663627
557,balanced flue,0.46630332
558,how long does flu last,0.46609825
559,flu symptoms in children,0.46526825
560,how long does the flu last,0.4646575
561,benylin 4 flu tablets,0.4644457
562,symptoms of influenza,0.46415806
563,childhood immunization schedule,0.4633476
564,what are the symptoms of flu,0.46237412
565,what are the symptoms of the flu,0.4621106
566,symptoms of australian flu,0.46129075
567,acquired immunity,0.46124113
568,nhs covid pass,0.46034667
569,avian bird flu,0.45973128
570,lemsip cold and flu capsules,0.45915908
571,hepatitis b vaccine schedule,0.45840183
572,rabies vaccination,0.45839292
573,vaccine side effects,0.45799443
574,immune,0.4579062
575,flu jab side effects,0.45745358
576,swine flu deaths,0.4571781
577,what is swine flu,0.45659283
578,aussie flu symptoms,0.4563816
579,immunology,0.45617884
580,uk nhs,0.45609787
581,ebola treatment,0.45607075
582,flu b symptoms,0.45604795
583,nhs hospitals,0.45583475
584,immune system,0.45434988
585,flu side effects,0.45385033
586,side effects of flu,0.45367935
587,bird flu map,0.45349455
588,clinical infectious diseases,0.4534747
589,how long can flu last,0.45314732
590,ebola epidemic,0.45312363
591,the ebola virus,0.45184693
592,influenza b symptoms,0.45183775
593,ebola outbreak,0.4515302
594,pneumonia injection,0.4514046
595,how long does a flu last,0.45043254
596,how long to recover from flu,0.44980466
597,side effects of flu jab,0.44978008
598,cold flu remedies,0.44938546
599,pneumonia jab,0.44922805
600,h3n8 bird flu,0.44890946
601,early flu symptoms,0.44863746
602,bird flue,0.44842404
603,hpv vaccine for men,0.44809848
604,symptoms of aussie flu,0.44793066
605,dog vaccination schedule,0.44695413
606,journal of infectious diseases,0.44585705
607,hospital nhs,0.4458102
