,Query,Cosine Similarity
0,flu medicine,1.0000001
1,medicine for flu,0.94301796
2,what medicine for flu,0.9168406
3,medication for flu,0.9070334
4,best flu medicine,0.90196407
5,flu treatment,0.889045
6,best medicine for flu,0.88573253
7,treating flu,0.8845202
8,flu remedy,0.8781893
9,flu tablets,0.87316704
10,cold flu medicine,0.86189014
11,flu medicine uk,0.86168915
12,flu relief,0.84791386
13,treat flu,0.84152985
14,cold and flu medicine,0.83414483
15,treatment for flu,0.83384013
16,flu antibiotics,0.8317059
17,cure flu,0.81883407
18,flu remedies,0.81587636
19,best flu medicine uk,0.8122921
20,antibiotics for flu,0.80430615
21,influenza treatment,0.80377746
22,flu prevention,0.80016005
23,flu spray,0.79387796
24,antiviral drugs for flu,0.7907006
25,cure for flu,0.7903459
26,flu advice,0.78815836
27,flu injection,0.7859138
28,flu,0.78542143
29,flu infection,0.78135335
30,flu remedies uk,0.7744
31,best flu remedies,0.7718699
32,antiviral for flu,0.77109647
33,flu nasal spray,0.7698893
34,flu injections,0.7690731
35,remedies for flu,0.7649803
36,flu nhs,0.7638178
37,flu clinic,0.7624226
38,best cold and flu medicine,0.7613962
39,best medicine for cold and flu,0.7613103
40,antivirals for flu,0.7598876
41,best thing for flu,0.7582017
42,flu vaccine pharmacy,0.75728583
43,best cure for flu,0.7562927
44,what to take for flu,0.7553973
45,flu recovery,0.7502926
46,best remedies for flu,0.7476586
47,the flu vaccine,0.7445948
48,cold and flu tablets,0.7445521
49,flu vaccine,0.7437503
50,flu vaccines,0.7402687
51,flu virus,0.7393995
52,flu cold,0.7387197
53,get rid of flu,0.73757476
54,flu update,0.73728836
55,flu shot,0.73607326
56,flu vaccination,0.73275673
57,flu vaccinations,0.73212194
58,flu home remedies,0.7300323
59,influenza,0.7269684
60,flu wiki,0.72534347
61,pharmacy flu jab,0.7232001
62,flu immunisation,0.7221844
63,home remedies for flu,0.72202057
64,how to treat flu,0.72146857
65,severe flu,0.71895057
66,the flu jab,0.7151093
67,flu going around,0.7141825
68,flu 2018,0.7136308
69,flu pain,0.71297026
70,flu jabs,0.7090219
71,get flu jab,0.7086989
72,new flu,0.70834756
73,flu complications,0.70646286
74,how to cure flu,0.70632994
75,flu jab,0.70595396
76,how to treat the flu,0.7052444
77,natural remedies for flu,0.70462203
78,swine flu treatment,0.7046107
79,flu outbreak,0.70225406
80,flu game,0.7005487
81,have the flu,0.7003571
82,child flu spray,0.6989695
83,recovery from flu,0.6989178
84,google flu,0.69846284
85,how to prevent flu,0.6963453
86,cold and flu relief,0.6958883
87,type a flu,0.6957751
88,best way to get rid of flu,0.69507444
89,flu mask,0.6944903
90,the flu shot,0.69398254
91,recovering from flu,0.6934961
92,swine flu antiviral,0.6922672
93,how to cure the flu,0.690302
94,food for flu,0.6900764
95,natural flu remedies,0.6895571
96,flu cough,0.68931127
97,flu effects,0.6886255
98,flu bug,0.68795544
99,flu tracker,0.68666357
100,viral flu,0.68663585
101,influenza virus,0.6862142
102,the flu,0.68607974
103,flu jab asda,0.6859533
104,recover from flu,0.68585956
105,flu epidemic,0.6853285
106,benylin 4 flu tablets,0.68465126
107,flu a,0.68291456
108,flu vaccine ingredients,0.6815139
109,influenza pandemic,0.68023777
110,man flu,0.6801202
111,flu incubation,0.679338
112,flu statistics,0.6790285
113,flu jab nhs,0.6780988
114,flu vaccine nhs,0.6778297
115,nhs direct flu,0.6774649
116,flu trends,0.67637944
117,how to get rid of flu,0.6758396
118,cdc flu,0.675478
119,australian flu nhs,0.67491955
120,flu season,0.6746479
121,aussie flu nhs,0.67448604
122,flu jokes,0.6743532
123,24 hour flu,0.67366296
124,influenza vaccine,0.67321885
125,flu symptom checker,0.6728619
126,how to get rid of a flu,0.6721038
127,flu jab 2021,0.6705704
128,flu test,0.6693002
129,book a flu jab,0.66838723
130,what is flu,0.66766465
131,how to get rid of the flu,0.6676024
132,uk flu,0.66720045
133,what is the flu,0.6669116
134,flu in adults,0.6663848
135,flu symptons,0.66607183
136,nasal flu,0.66584206
137,swin flu,0.6653659
138,latest flu,0.6639439
139,flu 2018 uk,0.6635816
140,influenza vaccination,0.662611
141,flu jab uk,0.6621909
142,flu camp,0.6618578
143,flu deaths,0.66180104
144,flu like virus,0.66157764
145,flu in uk,0.66065955
146,fever flu,0.66053486
147,flu meme,0.65985906
148,fluoxetine,0.6594962
149,got flu,0.6588378
150,flu duration,0.6585679
151,flu aches,0.6581709
152,flu headache,0.6561564
153,flu 2017 uk,0.6561041
154,flu death,0.65527415
155,flu and cough,0.65441257
156,free flu shots,0.6542131
157,flu definition,0.6533042
158,flu london,0.65297043
159,flu jab 2018,0.6527359
160,cold and flu remedies,0.6526542
161,fever medicine,0.65246654
162,common flu,0.65235186
163,flu contagious,0.6517763
164,child with flu,0.6505213
165,cold flu remedies,0.6498065
166,book flu jab,0.64922595
167,bad flu,0.6485574
168,flu jab for children,0.64799273
169,hay fever medicine,0.64787894
170,flu children,0.6478397
171,australian flu,0.64651954
172,flu vaccine 2019,0.64640695
173,flu symtoms,0.6459483
174,mild flu,0.64513016
175,free flu jab,0.6450374
176,flu jab 2017,0.6448276
177,flu jab for child,0.6445621
178,i have flu,0.6444275
179,flu vaccine uk,0.64440596
180,winter flu jab,0.6439668
181,flu jab 2020,0.6431561
182,book flu vaccine,0.6426468
183,flu in children,0.6423343
184,free flu jabs,0.64166784
185,types of flu,0.6412331
186,pandemic flu,0.64004517
187,flu like,0.6393562
188,is the flu jab safe,0.6372789
189,flu jab 2016,0.63650715
190,flu season uk,0.63575876
191,after effects of flu,0.6352957
192,how to get rid of flu fast,0.6346372
193,flu mexico,0.6326011
194,nasal flu vaccine,0.63249743
195,flu outbreaks,0.63191557
196,live flu vaccine,0.63126874
197,news flu,0.63103676
198,how to recover from flu,0.63074136
199,hay fever medication,0.6304938
200,stomach flu nhs,0.63048816
201,superdrug flu jab,0.6301114
202,flu side effects,0.629895
203,free flu vaccine,0.62964135
204,flu and pneumonia,0.6286401
205,aussie flu,0.62815875
206,latest flu virus,0.62807953
207,flu last,0.62771845
208,seasonal flu,0.6268304
209,flu map,0.62633324
210,pregnant flu,0.6253747
211,what is the flu vaccine,0.625245
212,flu symptoms nhs,0.6248553
213,flu vaccine for child,0.6247133
214,flu vaccine 2018,0.62377757
215,current flu virus,0.6231936
216,flu jab child,0.62280154
217,flu vaccine for children,0.62179923
218,flu diarrhea,0.6209521
219,flu deaths 2019,0.6207302
220,flu jab reactions,0.619883
221,swine flu nhs,0.6193544
222,influenza b,0.6190671
223,lloyds pharmacy flu jab,0.61876607
224,flu in babies,0.61836654
225,flu jab with a cold,0.6181221
226,sainsburys flu jab,0.6180223
227,influenza a,0.6179164
228,flu after flu jab,0.6176135
229,baby flu jab,0.61724305
230,cold and flu,0.6165144
231,lemsip cold and flu capsules,0.6165
232,anti inflammatory drugs,0.6164207
233,flu vaccine 2017,0.61596537
234,flu while pregnant,0.61493254
235,private flu jab,0.61481476
236,flu symptoms,0.6136327
237,flu or covid,0.6130833
238,booking flu jab,0.61294997
239,flu in pregnancy,0.61293143
240,stomach flu,0.6127813
241,flu temperature,0.6124092
242,pregnancy and flu,0.61220396
243,having the flu,0.61163926
244,cold or flu nhs,0.6116264
245,swine influenza,0.6109973
246,google flu trends,0.61092156
247,what is influenza,0.6098418
248,how to get over flu,0.60862494
249,where can i get flu jab,0.6081939
250,flu during pregnancy,0.60791016
251,flu game 12,0.6077169
252,swine flu,0.6070956
253,tummy flu,0.6064446
254,flu symptom,0.60527384
255,flu signs,0.60519594
256,cold vs flu,0.60496724
257,side effects of flu,0.6048606
258,reaction to flu jab,0.60476625
259,cough after flu,0.6043942
260,swine flu jab,0.6037032
261,flu recovery time,0.603274
262,tesco pharmacy flu jab,0.6029866
263,man flu meme,0.6027995
264,flu when pregnant,0.60206413
265,i have a flu,0.6020606
266,lloyds flu jab,0.6019051
267,aussie flu uk,0.60169923
268,signs of flu,0.601674
269,how to get over the flu,0.6014024
270,swine flu update,0.6012347
271,should i have the flu jab,0.60087585
272,winter flu,0.60086024
273,flu vaccine 2016,0.5995626
274,flu vaccine baby,0.59947586
275,flu shot reactions,0.59942883
276,distributing vaccines and treatments for covid-19 and flu,0.5984101
277,colds and flu,0.5979146
278,flu vaccine 2020,0.59787434
279,child flu,0.5977632
280,pregnancy flu,0.59769326
281,flu in toddlers,0.59769094
282,intestinal flu,0.59738916
283,medications,0.5972553
284,after the flu,0.5963545
285,flu symptoms 2019,0.59598637
286,flu vaccine near me,0.59586746
287,flu and diarrhea,0.5956331
288,flu deaths 2020,0.5952041
289,signs of the flu,0.5948449
290,have i got flu,0.5942106
291,medicine for hay fever,0.59380466
292,the swine flu,0.59369636
293,swine flu pandemic,0.59358513
294,is it flu or cold,0.59350693
295,flu vaccine children,0.59337616
296,spanish flu pandemic,0.5931394
297,la influenza,0.59285855
298,best hay fever medicine,0.59255093
299,flu deaths uk,0.5921973
300,hay fever tablets,0.5921747
301,flu jab near me,0.59193087
302,the flu symptoms,0.5917827
303,flu vaccine pregnant,0.5917577
304,flu or coronavirus,0.59140235
305,symptom of flu,0.59134275
306,cold and flu tablets when pregnant,0.591292
307,swine flu vaccination,0.5911064
308,the spanish flu,0.590852
309,do i have flu,0.5907543
310,baby flu,0.59068704
311,about swine flu,0.5904659
312,stages of flu,0.5893607
313,nhs child flu,0.5890318
314,flu sore throat,0.5886378
315,flu vaccine pregnancy,0.587727
316,swine flu vaccine,0.5875745
317,medicines,0.5870476
318,child flu vaccine,0.5867598
319,asian flu,0.586375
320,is flu contagious,0.5863026
321,cough medicine,0.5854439
322,fluoride treatment,0.5846565
323,summer flu,0.5842778
324,symptoms of flu,0.58391684
325,seasonal flu vaccine,0.58375853
326,fever tablets,0.58265865
327,symptoms of the flu,0.58263075
328,flu vaccine 2018 uk,0.5824032
329,do i have the flu,0.582231
330,freshers flu,0.5819888
331,flu symptoms 2018,0.5813914
332,influenza b virus,0.58076525
333,swine flu cdc,0.58062667
334,effects of flu jab,0.5799875
335,flu vaccine 2017 uk,0.57933086
336,flu vaccine side effects,0.57900226
337,flu jab vaccine,0.5782459
338,medication,0.57768
339,is the flu contagious,0.5771866
340,what to eat when you have the flu,0.5766224
341,i have the flu,0.57614315
342,flu symptoms 2017,0.5756337
343,best medicine for hay fever,0.574523
344,swine flu cases,0.5743284
345,flu in early pregnancy,0.5737202
346,flu vaccine in pregnancy,0.5733885
347,can you take cold and flu medicine while pregnant,0.5722516
348,flu vs coronavirus,0.57193273
349,meds,0.57179105
350,swine flu virus,0.57177913
351,influenza type a,0.5706937
352,swine flu game,0.57050544
353,medicine for,0.5700437
354,anti inflammatory herbs,0.57002807
355,flu vaccine for pregnant,0.5699096
356,cold or flu,0.5698242
357,antiviral medicine,0.5691936
358,what medication,0.56912374
359,flu jab pregnant,0.5686569
360,flu vaccination side effects,0.5683685
361,flu symptoms uk,0.56822205
362,best cold medicine,0.5681183
363,should i get a flu shot,0.5666493
364,dog flu,0.5666473
365,h1n1 flu,0.56638217
366,swine flu uk,0.56581783
367,spanish flu,0.56580305
368,when is flu season,0.56537175
369,how long flu,0.5649773
370,boots flu vaccine,0.5644052
371,best medicine,0.5639654
372,man flu video,0.5637992
373,antiviral medication,0.56371576
374,influenza symptoms,0.56341815
375,flu or cold or covid,0.5622074
376,flu injection side effects,0.5615759
377,flue,0.5615634
378,flu jab cost,0.5614939
379,flu jab while pregnant,0.561286
380,flu or cold test,0.5610219
381,flu symptoms 2016,0.5603936
382,cold medicine,0.55981755
383,swine flu news,0.55948895
384,spanish influenza,0.5585294
385,flu jab pregnancy,0.5584482
386,difference between a cold and flu,0.55799973
387,fever treatment,0.5575937
388,h1n1 influenza,0.5574838
389,flu deaths 2020 uk,0.5574739
390,flu symptoms in adults,0.55739796
391,flu jab in pregnancy,0.5571928
392,flu incubation period,0.5561139
393,nurofen cold and flu,0.5560973
394,flu vaccine when pregnant,0.5557457
395,flu symptoms child,0.5550966
396,medicine for cold,0.5543624
397,nausea medicine,0.554242
398,antiviral medications,0.55399007
399,cold or flu quiz,0.5535202
400,ebola treatment,0.5517534
401,anti sickness tablets,0.55124587
402,what medicine,0.5512425
403,tesco flu jab,0.5509212
404,incubation period for flu,0.5507134
405,side effects of flu vaccine,0.55032486
406,boots flu jabs,0.55029607
407,swine flu 2016,0.54995394
408,hayfever medicine,0.54902077
409,antiviral drugs,0.5485866
410,pig flu,0.54842603
411,swine flu latest,0.54804385
412,what are the symptoms of the flu,0.5461179
413,cold flu or covid,0.54553235
414,flu symptoms 2022,0.54542243
415,flu virus symptoms,0.545203
416,uk flu deaths 2019,0.5448834
417,flu jab when pregnant,0.54485893
418,australian flu symptoms nhs,0.54483813
419,beechams flu plus,0.5447031
420,what is man flu,0.5446619
421,child nasal flu vaccine,0.5438801
422,nausea medication,0.5436573
423,new medicine,0.54304105
424,flu symptoms last,0.5429777
425,fever cure,0.541584
426,flu contagious period,0.5408372
427,tattoo flu,0.5406426
428,what are the symptoms of flu,0.54062355
429,hay fever remedy,0.53979385
430,what are flu symptoms,0.5397794
431,best medicine for cold,0.53868514
432,hay fever relief,0.5386592
433,spanish flu epidemic,0.5383019
434,stomach flu contagious,0.53703475
435,boots flu jab,0.5365257
436,swine flu spread,0.5362305
437,early flu symptoms,0.5358798
438,medication for,0.53572917
439,flu how long does it last,0.535045
440,medicine,0.5349541
441,medicine for cough,0.5348439
442,coronavirus cold or flu,0.53423244
443,avian influenza,0.53407514
444,hay fever cure,0.5336529
445,flu jab side effects 2018,0.533475
446,swine flu outbreak,0.53311557
447,antiviral,0.53232485
448,do i have a cold or flu,0.5315247
449,boots flu,0.53111887
450,hay fever treatment,0.5305232
451,flu symptoms in children,0.5304368
452,difference between cold and flu,0.5302998
453,prescription medicine,0.5299866
454,gastric flu,0.5293856
455,green book influenza,0.5289309
456,lemsip cold and flu,0.5285083
457,fever injection,0.5279187
458,hay fever treatments,0.5277324
459,do i have flu or cold,0.52768713
460,flu like symptoms,0.52565765
461,bird flu,0.52535725
462,aussie flu symptoms nhs,0.52474564
463,avian flu,0.52462065
464,cheerleader flu shot,0.5235902
465,how long to recover from flu,0.5232622
466,hay fever injection,0.52324104
467,swine flu map,0.52308285
468,nasal spray,0.52279484
469,medication list,0.52145815
470,baby swine flu,0.5212852
471,hong kong flu,0.5205537
472,swine flu epidemic,0.5201287
473,hayfever medication,0.51939785
474,effects of swine flu,0.51936066
475,what is the swine flu,0.51875794
476,balanced flue,0.5184881
477,flu jab side effects,0.5182798
478,what is influenza b,0.5176194
479,anti nausea medication,0.51712686
480,antiviral tablets,0.5162102
481,diarrhea medicine,0.5145527
482,symptoms of influenza,0.51443255
483,cough syrup,0.51341647
484,boots flu jab 2020,0.5121922
485,how long does the flu last,0.51200956
486,hay fever cures,0.51194924
487,flu vaccine child side effects,0.51100534
488,fever remedies,0.5107508
489,how many people die from flu,0.5106636
490,fever,0.5104724
491,wine flu,0.51015115
492,swine flu symptoms checker,0.50980514
493,anti sickness,0.50956047
494,boots cold and flu,0.5093858
495,prescription medications,0.5090081
496,best cough medicine,0.5088953
497,antivirals,0.5077523
498,malaria medication,0.507646
499,prescribed,0.5073604
500,side effects of the flu jab,0.50678575
501,coronavirus or flu or cold,0.506457
502,best medicine for cough,0.5056407
503,hay fever,0.50547206
504,swine flu facts,0.50520176
505,how long does flu last,0.5045174
506,antibiotics,0.5039016
507,side effects of flu jab,0.5028719
508,asthma medication,0.502393
509,australian flu symptoms,0.5019814
510,antibiotics for,0.49992904
511,bird flu pandemic,0.49987262
512,when is flu contagious,0.49983463
513,flu shot side effects,0.4995107
514,swine flu death,0.4994353
515,what is fluoxetine,0.49922937
516,cough relief,0.49912512
517,allergy medicine,0.49904355
518,what is swine flu,0.4984405
519,prescription medication,0.4980218
520,asthma medications,0.4978532
521,add medication,0.49783596
522,antiinflammatory,0.49761444
523,lemsip max cold and flu,0.49728325
524,can you take cold and flu when pregnant,0.4959395
525,medication information,0.49507767
526,pneumonia treatment,0.4949545
527,ebola cure,0.4947952
528,treatment for hay fever,0.49468124
529,swine flu deaths,0.4940731
530,how long does a flu last,0.49387464
531,how long can flu last,0.49323237
532,flu b symptoms,0.49323228
533,swine flu symptons,0.49313703
534,fda drugs,0.49286357
535,best hayfever medicine,0.49219567
536,bird flue,0.49164963
537,bird flu virus,0.49163124
538,scarlet fever treatment,0.49158263
539,herpes medicine,0.49095726
540,bird flu vaccine,0.49082083
541,hayfever nasal spray,0.49059582
542,medicine for the people,0.49053884
543,cold medicine uk,0.48947737
544,ssri,0.48937297
545,aussie flu symptoms,0.4887996
546,pharmaceutical,0.48805344
547,cold sore medicine,0.48792294
548,fever nhs,0.48775375
549,cold fever,0.48737538
550,fever virus,0.48716506
551,sickness virus,0.4870515
552,yeast infection medicine,0.48669413
553,aussie flu symptoms 2017,0.48615915
554,codeine cough syrup,0.48574555
555,cough drops,0.48526412
556,allergy medication,0.48383594
557,prescription drug,0.4835052
558,nausea treatment,0.48262823
559,colitis treatment,0.48253083
560,symptoms of australian flu,0.4825287
561,hay fever remedies,0.48239982
562,swine flu symtoms,0.4819851
563,add medicine,0.4818156
564,hay fever cough,0.481716
565,medication dictionary,0.48154363
566,best nasal spray,0.4812178
567,prescription drugs,0.48083234
568,side effects of flu shot,0.48066244
569,covonia cough medicine,0.48048276
570,fluu,0.47980762
571,afrin nasal spray,0.47962028
572,how long is the flu contagious,0.47950268
573,cough syrup with codeine,0.4791658
574,pandemic,0.47879744
575,ssri drugs,0.47812298
576,diabetes medication,0.47802043
577,cold or flu symptoms,0.47705525
578,bronchitis treatment,0.4768589
579,medicines management,0.47659832
580,saline nasal spray,0.47623014
581,tickly cough medicine,0.4757026
582,covid antivirals,0.47558329
583,illnesses,0.47527477
584,penicillin,0.4752572
585,anti nausea,0.4744619
586,stomach flu symptoms,0.47421545
587,bird flu uk,0.4740628
588,flu jab symptoms,0.47401178
589,inflammatory,0.4739978
590,cold sore medication,0.47395426
591,diabetes medications,0.47393757
592,cough fever,0.4734272
593,inflammation,0.47335574
594,symptoms of aussie flu,0.47295937
595,herpes medication,0.472565
596,cough and fever,0.47250682
597,how did spanish flu end,0.4724155
598,swine flu vaccine side effects,0.47219402
599,bird flu restrictions,0.47202665
600,antiviral for covid,0.47188908
601,cure for ebola,0.47157764
602,headache medicine,0.47155175
603,medication administration,0.4708329
604,epidemic pandemic,0.4708097
605,antibiotics for bronchitis,0.47057185
606,tropical medicine,0.47054926
607,bronchitis treatments,0.47040942
608,avian flu latest,0.47017974
609,cold and flu symptoms,0.46993297
610,ssris,0.46972907
611,malaria pills,0.46972066
612,sinus medication,0.4682849
613,vicks nasal spray,0.46768132
614,hayfever tablets,0.4676021
615,michael jordan flu game,0.46632993
616,stop sickness,0.46597856
617,antibiotic,0.46569964
618,how long is flu contagious,0.46526164
619,childrens hayfever medicine,0.4648929
620,best allergy medicine,0.46480566
621,inflammatory diseases,0.46459183
622,best cough syrup,0.46406892
623,modern medicine,0.46402666
624,how long are you contagious with the flu,0.46355614
625,kids hayfever medicine,0.46355587
626,cough remedy,0.463454
627,antihistamine nasal spray,0.46344358
628,antibiotics for pneumonia,0.4629082
629,viral cold,0.4627338
630,baby hayfever medicine,0.46181452
631,flu like symptoms pregnant,0.45914096
632,twin wall flue,0.45901498
633,sore throat medicine,0.4585722
634,antivirals for covid,0.45809096
635,advil,0.4580747
636,mucus cough syrup,0.45788968
637,chesty cough medicine,0.45729053
638,medicine interactions,0.4571578
639,viral cough,0.457073
640,best cure for a cold,0.45642966
641,steroid nasal spray,0.4559224
642,fever contagious,0.45582888
643,treatment for bronchitis,0.45538753
644,e medicine,0.4553323
645,hayfever tablet,0.4552815
646,ebola,0.4550994
647,plague doctor,0.4550162
648,h3n8 bird flu,0.45499623
649,virus ebola,0.45493856
650,cure a cold,0.4544083
651,honey for cough,0.45429698
652,risperidone,0.45375162
653,benylin cough syrup,0.4534335
654,hiv medications,0.4532621
655,influenza b symptoms,0.45325464
656,cough suppressant,0.45308995
657,spanish flu symptoms,0.45295468
658,pneumonia,0.4526349
659,china bird flu,0.4526049
660,getting rid of a cold,0.45246714
661,diabetes drugs,0.4521017
662,ibs medication,0.45196885
663,how to treat a fever,0.45182514
664,superbug,0.45180142
665,medication interactions,0.4517389
666,inflammatory disease,0.45140618
667,big medicine,0.4508957
668,drug,0.45082623
669,gout medicine,0.4507795
670,symtoms of swine flu,0.4505362
671,how many people die of flu each year uk,0.4503316
672,allergy nasal spray,0.4501807
673,schizophrenia medication,0.45003077
674,treatment for pneumonia,0.44993034
675,chinese medicine,0.4498635
676,avian bird flu,0.44972306
677,symptoms swine flu,0.44942188
678,beconase nasal spray,0.4492579
679,hayfever medicine for kids,0.44873452
680,anti inflammatory foods,0.4485163
681,cough medicine for kids,0.44829857
682,infection control,0.4479534
683,migraine medicine,0.44780457
684,cold flu symptoms,0.4473256
685,cold remedy,0.44732457
686,covid antivirals uk,0.44661212
687,astrazeneca vaccine,0.4465289
688,be sick,0.4464769
689,pills,0.44645572
690,antiinflammatory foods,0.44603753
691,symptoms of stomach flu,0.44536883
692,bird flu wales,0.44488692
693,illness,0.44463235
694,high fever,0.44390124
695,prescription pills,0.44374806
696,taking antibiotics,0.44357634
697,yeast infection medication,0.44357103
698,over the counter antibiotics,0.44353625
699,cold virus,0.44308826
700,hay fever uk,0.44280925
701,ebola disease,0.44280025
702,medecine,0.44278038
703,cold and fever,0.44217062
704,cough virus,0.44205004
705,signs of swine flu,0.44193146
706,sinus infection antibiotics,0.44187725
707,pneumonia jab,0.4418379
708,remedies for a cold,0.44182405
709,best thing for a cold,0.44139057
710,ebola vaccine,0.44124714
711,best cold remedy,0.44124594
712,herbal medicine,0.44067642
713,paracetamol tablet,0.4406063
714,paracetamol for cold,0.4403416
715,benadryl plus,0.44021195
716,get sick,0.43956944
717,covid ibuprofen,0.43929774
718,cures for morning sickness,0.43924087
719,uti medication,0.43895042
720,hay fever or cold,0.43849325
721,how long do flu symptoms last,0.43842354
722,systemic infection,0.43833435
723,a fever,0.43803954
724,anti inflammatory diet,0.43791717
725,nyquil,0.43758592
726,anti depression medication,0.43703324
727,symptoms of the swine flu,0.43664262
728,the ebola virus,0.43663603
729,paracetamol,0.4365605
730,chills and fever,0.436536
731,chemotherapy drugs,0.436508
732,medical alert,0.43631223
733,incubation period for swine flu,0.43619543
734,medicine net,0.4360614
735,h1n1 flu symptoms,0.4358317
736,disease treatment,0.43543434
737,pandemic and epidemic,0.43508542
738,inflammatory response,0.4350611
739,medication for depression,0.43460464
740,antivirals for covid uk,0.4339608
741,have fever,0.43321806
742,sick virus,0.43305752
743,inflamed,0.4327795
744,allergy reliever,0.4324698
745,fluoxetine dosage,0.4320266
746,hiv drugs,0.43190032
747,antiretroviral,0.43187585
748,lassa fever,0.43176025
749,treatment for,0.43168062
750,24 hour sickness,0.43151408
751,pneumonia vaccine,0.43141907
752,antibiotics list,0.43124822
753,clinical infectious diseases,0.43097338
754,anti inflammation diet,0.4309224
755,acetaminophen,0.43089378
756,treatments for,0.43073636
757,ebola virus disease,0.43057585
758,severe hay fever,0.4305688
759,stop a cold,0.4305274
760,prozac medication,0.4304556
761,nhs pneumonia,0.42986512
762,yellow fever,0.42953083
763,amoxicillin,0.42950097
764,vomiting virus,0.4293253
765,aspirin,0.42928144
766,motion sickness medicine,0.42921484
767,chronic inflammation,0.4291761
768,best cough medicine uk,0.42881423
769,viral pneumonia,0.42850697
770,buttercup cough syrup,0.4282276
771,journal of infectious diseases,0.4282229
772,bird flu 2023,0.42753494
773,sickness,0.4273062
774,antibiotics for sinus infection,0.4270085
775,q fever,0.42700458
776,swine fever,0.4269393
777,fluoride poisoning,0.4268592
778,how to treat a cold,0.4267075
779,best cough remedy,0.42663753
780,inflammatory arthritis,0.42658204
781,bird flu map,0.4259808
782,medicine balls,0.42512065
783,fevers,0.42470065
784,salbutamol,0.42462063
785,covid 19 sneezing,0.42450088
786,dry cough syrup,0.4244731
787,immunologist,0.4244528
788,about ebola,0.42438638
789,nasal congestion relief,0.42414302
790,covid 19 vaccine,0.4239444
791,list of antibiotics,0.4237634
792,fever sore,0.42365733
793,cough syrup for kids,0.42360532
794,gout medication,0.42352456
795,salmonella treatment,0.42338398
796,stomach virus,0.42308292
797,best way to get rid of a cold,0.42302203
798,drug treatment,0.4228959
799,hayfever treatment,0.4228475
800,covid 19 cough,0.4226375
801,pfizer covid vaccine,0.4225106
802,cough medicine for babies,0.42242977
803,medication errors,0.4222585
804,how to reduce a fever,0.42190328
805,paracetamol tablets,0.42190272
806,i have pneumonia,0.42189878
807,spell pneumonia,0.4216333
808,herbal medicines,0.42161515
809,journal of medicine,0.42146623
810,hayfever relief,0.42114475
811,cold tablets,0.42107558
812,emergency medicine,0.42091253
813,prescription,0.4208625
814,pneumonia injection,0.42079407
815,does cough medicine work,0.4207073
816,antibiotic for sinus infection,0.42063236
817,ebola crisis,0.4206096
818,prescriptions,0.42058954
819,stop feeling sick,0.42046726
820,allergy tablets,0.4204521
821,respiratory infection,0.42042255
822,benadryl,0.4203553
823,integrative medicine,0.4203456
824,symptoms of swine flu,0.42015466
825,a drug,0.42007887
826,lmsg antibiotic,0.41990376
827,swine flu incubation period,0.4197954
828,i need antibiotics,0.41976076
829,pharmacological,0.41973996
830,sinus infection treatment,0.4196499
831,antibiotics for bv,0.41957366
832,inflamation,0.4195697
833,critical care medicine,0.4191163
834,treat a cold,0.41898543
835,ibuprofen,0.4188444
836,promethazine codeine,0.41879398
837,sickness and,0.41873407
838,best treatment for,0.4185462
839,how to cure a cold,0.41844875
840,outbreak,0.41826218
841,bird flu 2022,0.41801828
842,fibromyalgia medication,0.41793787
843,hayfever eye drops,0.41789642
844,nhs scarlet fever,0.41755047
845,how to get rid of a fever,0.41750136
846,rheumatic fever,0.4174382
847,medicine for sore throat,0.41731364
848,morning sickness relief,0.4172958
849,fever with chills,0.4171955
850,infections,0.41717333
851,fastest way to get rid of a cold,0.41716728
852,natural cough suppressant,0.41701764
853,pharmacology,0.4167571
854,codeine paracetamol,0.416652
855,nausea relief,0.41650116
856,nsaids drugs,0.41637322
857,news ebola,0.41632617
858,rabbit fever,0.41629827
859,ibuprofen paracetamol,0.4160393
860,medicine dictionary,0.41602522
861,bv antibiotics,0.41577202
862,tonsillitis antibiotics,0.41577056
863,alternative medicine,0.41567528
864,infection,0.41538125
865,how long did the spanish flu last,0.41536236
866,allergy relief tablets,0.4152818
867,liberty medical,0.4152367
868,covid19 vaccine,0.41492787
869,cholera,0.41468468
870,morning sickness remedies,0.41468015
871,xanax,0.41445708
872,pandemic 3,0.41429308
873,medical,0.41371167
874,aspirin therapy,0.41347164
875,cure,0.41338122
876,pandemic vs epidemic,0.41312245
877,migraine medication,0.41279528
878,natural antivirals,0.41274446
879,ebola uk,0.4126361
880,malaria treatment,0.41255006
881,nose spray,0.41252324
882,hay fever season,0.4124139
883,sinex nasal spray,0.41211557
884,best medicine for sore throat,0.41196942
885,nausea remedies,0.41182867
886,pharmacy,0.41181546
887,fever and vomiting,0.4116027
888,medical solutions,0.41139078
889,sleep medicine,0.41124249
890,ebola chan,0.41113722
891,infectious disease,0.41097975
892,asthma treatment,0.41073155
893,lloyds pharmacy allergy reliever,0.4106472
894,how to stop hay fever,0.41057345
895,throat spray,0.41047788
896,fever blister,0.4103704
897,advil cold and sinus,0.4102143
898,clinical pharmacology,0.41010526
899,treatments,0.40994
