,Query,Cosine Similarity
0,flu,0.79700977
1,influenza,0.7555398
2,treat flu,0.74733055
3,flu infection,0.7379484
4,flu nhs,0.7374299
5,flu going around,0.725466
6,cure flu,0.7233182
7,flu cold,0.7216783
8,flu outbreak,0.7216039
9,treating flu,0.7211788
10,have the flu,0.7210979
11,flu advice,0.721026
12,severe flu,0.71871597
13,flu medicine,0.7146545
14,uk flu,0.7140822
15,get rid of flu,0.7140174
16,flu prevention,0.7119367
17,flu 2018,0.71073407
18,flu relief,0.70766526
19,the flu,0.70383584
20,flu virus,0.70340073
21,flu treatment,0.7029142
22,flu remedy,0.7026041
23,flu bug,0.7022976
24,new flu,0.7022678
25,flu vaccine,0.7003614
26,flu vaccines,0.6986021
27,viral flu,0.6978857
28,pregnant flu,0.69684744
29,flu recovery,0.6964475
30,flu epidemic,0.6937374
31,latest flu,0.6906718
32,flu clinic,0.688185
33,flu in uk,0.6879051
34,bad flu,0.68780243
35,flu wiki,0.68754596
36,flu immunisation,0.6874482
37,australian flu,0.6872447
38,cure for flu,0.6868131
39,flu 2018 uk,0.6864139
40,flu cough,0.6848349
41,pregnancy flu,0.6838819
42,24 hour flu,0.68329626
43,flu a,0.6832236
44,flu 2017 uk,0.6821999
45,aussie flu,0.6821026
46,flu complications,0.68174475
47,common flu,0.6807071
48,flu symptoms nhs,0.6805446
49,baby flu,0.68045735
50,flu injection,0.6791776
51,flu season,0.6786132
52,cdc flu,0.67839015
53,flu in pregnancy,0.6780573
54,google flu,0.67783093
55,medicine for flu,0.6778193
56,flu statistics,0.67750233
57,influenza virus,0.6770909
58,influenza pandemic,0.6769632
59,best thing for flu,0.6763958
60,fever flu,0.67623305
61,flu when pregnant,0.67590016
62,flu pain,0.67550755
63,flu in babies,0.6754771
64,seasonal flu,0.6753995
65,flu trends,0.67508775
66,flu update,0.67482394
67,flu vaccination,0.6742576
68,man flu,0.67361975
69,aussie flu nhs,0.6734118
70,pregnancy and flu,0.67304546
71,flu during pregnancy,0.672241
72,having the flu,0.6717241
73,flu jokes,0.671707
74,flu while pregnant,0.6714844
75,flu symtoms,0.6714147
76,mild flu,0.6704683
77,flu in children,0.6694343
