,Query,Cosine Similarity
0,pregnancy flu,1.0
1,pregnant flu,0.98398304
2,flu during pregnancy,0.93862605
3,flu in pregnancy,0.93483484
4,flu when pregnant,0.93424165
5,flu while pregnant,0.91540325
6,pregnancy and flu,0.90475357
7,flu in early pregnancy,0.8979167
8,baby flu,0.79957354
9,flu like symptoms pregnant,0.7942535
10,flu jab pregnant,0.7932523
11,flu jab pregnancy,0.79283524
12,flu vaccine pregnancy,0.7825058
13,flu jab in pregnancy,0.77802145
14,flu vaccine pregnant,0.7747196
15,flu,0.7717993
16,flu jab while pregnant,0.7716572
17,flu jab when pregnant,0.7700407
18,flu vaccine in pregnancy,0.75304216
19,flu vaccine for pregnant,0.7495613
20,flu vaccine when pregnant,0.7455443
21,flu in babies,0.74326026
22,viral flu,0.72440565
23,influenza,0.7143861
24,flu going around,0.7119775
25,flu outbreak,0.70772874
26,severe flu,0.69996285
27,flu infection,0.69588834
28,child flu,0.6950493
29,the flu,0.6940768
30,sickness during pregnancy,0.69390583
31,aussie flu,0.69316393
32,uk flu,0.69156134
33,australian flu,0.69055444
34,flu virus,0.6904087
35,bad flu,0.6903039
36,seasonal flu,0.68985283
37,flu bug,0.68952036
38,fever while pregnant,0.6877988
39,fever during pregnancy,0.6866862
40,baby swine flu,0.6864687
41,fever in pregnancy,0.6859358
42,common flu,0.6856955
43,news flu,0.6807457
44,fever pregnancy,0.68026197
45,fever flu,0.675431
46,cdc flu,0.67396915
47,have the flu,0.67382824
48,latest flu,0.673002
49,fever and pregnancy,0.67178106
50,tummy flu,0.6706704
51,new flu,0.66915756
52,stomach flu,0.6687844
53,google flu,0.666518
54,flu vaccine baby,0.6657599
55,influenza virus,0.66504854
56,flu epidemic,0.66094625
57,baby flu jab,0.6601484
58,having the flu,0.65879387
59,flu season,0.65800107
60,flu outbreaks,0.6552549
61,mild flu,0.6541673
62,flu or covid,0.65304434
63,hay fever in pregnancy,0.65292346
64,flu 2018,0.6528199
65,flu diarrhea,0.65084404
66,hay fever pregnancy,0.6508342
67,can you take cold and flu when pregnant,0.6492345
68,flu in toddlers,0.6485488
69,flu complications,0.6479137
70,pandemic flu,0.646822
71,summer flu,0.64594495
72,treat flu,0.64582473
73,nhs child flu,0.6455375
74,intestinal flu,0.6449388
75,flu in children,0.6445535
76,influenza pandemic,0.6438689
77,spanish flu,0.64362586
78,flu season uk,0.6430328
79,the spanish flu,0.6421736
80,asian flu,0.64185184
81,flu incubation,0.641192
82,24 hour flu,0.6404884
83,flu trends,0.6389653
84,aussie flu uk,0.638101
85,flu like virus,0.63755715
86,flu children,0.6374269
87,flu prevention,0.63584954
88,flu in uk,0.63535315
89,flu symtoms,0.63517404
90,flu mexico,0.63408166
91,flu cold,0.6336551
92,nasal flu,0.6336198
93,flu 2018 uk,0.6327256
94,pregnancy,0.63241905
95,flu a,0.6322605
96,flu contagious,0.6319241
97,flu 2017 uk,0.6315836
98,what is the flu,0.63091725
99,diarrhea during pregnancy,0.62929916
100,diarrhea while pregnant,0.62914133
101,swine flu,0.62878525
102,flu test,0.6285503
103,flu nhs,0.62841207
104,what is flu,0.62631077
105,flu advice,0.6260053
106,types of flu,0.62588274
107,flu wiki,0.624465
108,flu and diarrhea,0.6244523
109,flu cough,0.6220727
110,covid while pregnant,0.6217194
111,child with flu,0.6216093
112,latest flu virus,0.62128943
113,winter flu,0.6211904
114,flu update,0.6206721
115,got flu,0.6192326
116,flu signs,0.6176836
117,type a flu,0.61627495
118,flu vaccines,0.61520034
119,stomach flu contagious,0.61497235
120,pregnancy rash,0.61466205
121,cure flu,0.6145761
122,flu vaccine,0.61438113
123,cold and flu tablets when pregnant,0.6143583
124,the swine flu,0.6121175
125,signs of flu,0.61159354
126,flu definition,0.6109849
127,flu symptons,0.6108309
128,flu or coronavirus,0.60985476
129,flu jokes,0.6092237
130,man flu,0.60922146
131,flu effects,0.6087026
132,flu tracker,0.60791075
133,spanish influenza,0.60692954
134,current flu virus,0.6056911
135,flu jabs,0.6053585
136,flu symptoms 2019,0.6050792
137,flu statistics,0.6047661
138,bird flu,0.60445887
139,early flu symptoms,0.6034006
140,flu london,0.6033903
141,treating flu,0.60248196
142,flu clinic,0.6024718
