,Query,Cosine Similarity
0,how to get rid of flu,1.0
1,how to get rid of the flu,0.99290437
2,how to get rid of a flu,0.9893109
3,best way to get rid of flu,0.963714
4,how to get rid of flu fast,0.92664206
5,how to treat flu,0.92041767
6,how to treat the flu,0.9090443
7,get rid of flu,0.9020762
8,how to cure the flu,0.8991306
9,how to cure flu,0.8989132
10,how to get over the flu,0.88030875
11,how to prevent flu,0.8796108
12,remedies for flu,0.8746488
13,how to get over flu,0.8718903
14,best remedies for flu,0.8602185
15,flu remedies,0.8550274
16,how to recover from flu,0.8441776
17,natural remedies for flu,0.83249414
18,best cure for flu,0.8315885
19,cure for flu,0.82779694
20,home remedies for flu,0.82563174
21,flu remedy,0.8169982
22,cure flu,0.8125584
23,treat flu,0.8113296
24,treating flu,0.80472124
25,what to take for flu,0.8037307
26,best flu remedies,0.80272496
27,flu home remedies,0.8025843
28,best thing for flu,0.7964084
29,natural flu remedies,0.79244995
30,flu advice,0.78542143
31,treatment for flu,0.78231716
32,flu treatment,0.7762939
33,flu remedies uk,0.7645365
34,recover from flu,0.762398
35,best medicine for flu,0.75780296
36,recovery from flu,0.7566501
37,flu recovery,0.7555003
38,flu prevention,0.7545935
39,flu relief,0.7544445
40,recovering from flu,0.75436884
41,cold and flu remedies,0.7534789
42,how to get rid of a cold,0.749952
43,cold flu remedies,0.74505275
44,what to eat when you have the flu,0.7448139
45,medicine for flu,0.7370515
46,how do you get rid of a cold,0.73349
47,ways to get rid of a cold,0.7324755
48,what medicine for flu,0.7304337
49,best ways to get rid of a cold,0.7301235
50,best way to get rid of a cold,0.72735727
51,food for flu,0.71544755
52,have the flu,0.7093076
53,influenza treatment,0.70240974
54,cold and flu relief,0.6919967
55,quickest way to get rid of a cold,0.6895031
56,medication for flu,0.6885124
57,best flu medicine,0.6828619
58,fastest way to get rid of a cold,0.6826811
59,how to get rid of cold,0.68172914
60,flu medicine,0.6758397
61,flu,0.6741039
62,i have flu,0.6732456
63,flu going around,0.67323124
64,flu immunisation,0.67208827
65,how to get rid of a fever,0.66996974
66,flu vaccination,0.6689243
67,how to get rid of sickness,0.6666331
68,how to treat a cold,0.6630047
69,flu cold,0.6586847
70,get flu jab,0.6583028
71,antivirals for flu,0.6573955
72,how to get rid of a cold fast,0.656757
73,how to cure a cold,0.6567434
74,getting rid of a cold,0.65412545
75,antibiotics for flu,0.6484771
76,flu tablets,0.6459004
77,best medicine for cold and flu,0.64510936
78,antiviral drugs for flu,0.6436329
79,what is the flu,0.6428299
80,antiviral for flu,0.64256394
81,flu update,0.6420593
82,flu in adults,0.6418648
83,how to get over a cold,0.6390656
84,how to stop a cold,0.6382913
85,flu symtoms,0.6366735
86,flu infection,0.6364262
87,how to get rid of cough,0.6359782
88,flu pain,0.6353153
89,how long to recover from flu,0.63447785
90,what is flu,0.63355035
91,flu vaccinations,0.6329413
92,how to reduce a fever,0.6296712
93,flu spray,0.62949336
94,flu aches,0.6293406
95,how to get rid of cold fast,0.6292448
96,signs of the flu,0.62848914
97,flu vaccine,0.62819624
98,influenza,0.62611663
99,how to get rid of a cough,0.6257373
100,cold flu medicine,0.6255846
101,symptom of flu,0.6253649
102,how to fight a cold,0.62442327
103,flu and cough,0.6242159
104,signs of flu,0.6238309
105,flu vaccines,0.6234095
106,flu outbreak,0.6231385
107,flu antibiotics,0.6228782
108,side effects of flu,0.62142295
109,cough after flu,0.6209856
110,how to get rid of a cold overnight,0.62046194
111,24 hour flu,0.61921597
112,how to stop feeling sick,0.6192086
113,flu nasal spray,0.6173464
114,symptoms of the flu,0.6158686
115,i have a flu,0.6150237
116,flu cough,0.6147592
117,flu recovery time,0.61449087
118,symptoms of flu,0.61430186
119,best flu medicine uk,0.6139571
120,how to stop hay fever,0.61264265
121,flu 2018,0.6122128
122,after effects of flu,0.6117665
123,flu duration,0.61121875
124,influenza vaccination,0.6110658
125,flu symptoms,0.61054397
126,get rid of a cold,0.6100468
127,flu effects,0.60975313
128,what are the symptoms of the flu,0.6097263
129,the flu vaccine,0.609312
130,man flu,0.6090714
131,flu how long does it last,0.6085669
132,what are the symptoms of flu,0.60766494
133,how to get rid of sinus infection,0.6072885
134,flu statistics,0.60644066
135,flu injection,0.6062745
136,flu in children,0.60585624
137,flu bug,0.60451186
138,how to prevent a cold,0.60427254
139,swine flu treatment,0.60335135
140,flu headache,0.6024591
141,flu while pregnant,0.60195816
142,got flu,0.60141873
143,flu wiki,0.6006323
144,how to get rid of mucus,0.6004389
145,i have the flu,0.5998653
146,how to get rid of a bad cough,0.5988169
147,have i got flu,0.5986791
148,remedies for a cold,0.598284
149,best way to get rid of a cough,0.5979227
150,flu definition,0.59788907
151,colds and flu,0.59787947
152,difference between a cold and flu,0.59770054
153,how long flu,0.5976722
154,cold and flu medicine,0.59739316
155,severe flu,0.5968077
156,how to get rid of a head cold,0.595669
157,do i have flu,0.59519774
158,flu symptom,0.5947523
159,having the flu,0.59436476
160,best cold and flu medicine,0.5943603
161,flu shot,0.593072
162,how to treat a fever,0.59293485
163,how to beat a cold,0.5922277
164,flu game,0.592225
165,flu in uk,0.59194803
166,types of flu,0.5919098
167,new flu,0.5916296
168,best cure for a cold,0.59067124
169,flu mask,0.5906476
170,seasonal flu,0.5905448
171,how long does the flu last,0.5904952
172,viral flu,0.5900151
173,flu complications,0.58978516
174,flu injections,0.5890881
175,flu a,0.5879787
176,how to recover from a cold,0.58695173
177,flu side effects,0.5868125
178,how to get rid of a sinus infection,0.5867249
179,after the flu,0.58633226
180,common flu,0.58629966
181,flu nhs,0.58623666
182,flu symptons,0.5852383
183,flu when pregnant,0.58483267
184,book a flu jab,0.58442867
185,flu in babies,0.58395773
186,flu epidemic,0.583894
187,how long does flu last,0.58364075
188,how to get rid of tonsillitis,0.58298945
189,flu jab with a cold,0.58290863
190,stages of flu,0.5828407
191,do i have the flu,0.58212364
192,how to treat bronchitis,0.5815952
193,flu jokes,0.5808961
194,what are flu symptoms,0.5803505
195,nasal flu,0.57993746
196,type a flu,0.57909507
197,flu trends,0.57851416
198,how long does a flu last,0.5783602
199,flu last,0.5767687
200,flu tracker,0.57655454
201,how to cure a cough,0.57651496
202,flu during pregnancy,0.5759278
203,flu symptoms in adults,0.5752377
204,flu and diarrhea,0.57509774
205,flu in pregnancy,0.574254
206,flu symptoms 2019,0.57419324
207,flu symptom checker,0.57368183
208,how long can flu last,0.57204694
209,flu virus,0.57138336
210,cold vs flu,0.57114667
211,flu 2018 uk,0.57104725
212,flu incubation,0.5710374
213,flu jabs,0.5706469
214,flu deaths,0.57051766
215,flu clinic,0.5704552
216,latest flu,0.56983984
217,uk flu,0.56975657
218,the flu,0.56897384
219,flu jab,0.5679842
220,flu symptoms last,0.56647
221,flu signs,0.56643134
222,flu after flu jab,0.56607157
223,cold and flu,0.5655896
224,free flu shots,0.56546825
225,flu season,0.5646136
226,influenza vaccine,0.5644256
227,how to get rid of sinus,0.5643364
228,flu and pneumonia,0.56422484
229,the flu symptoms,0.56385046
230,how to stop coughing,0.5632942
231,live flu vaccine,0.56316817
232,how to treat a cough,0.5624591
233,how to get rid of diarrhea,0.5615034
234,influenza symptoms,0.56128037
235,mild flu,0.56103575
236,flu london,0.56099766
237,flu meme,0.5596012
238,flu symptoms 2018,0.55915517
239,flu jab reactions,0.55913746
240,flu in toddlers,0.5584345
241,what is influenza,0.5583633
242,flu contagious,0.5578558
243,difference between cold and flu,0.55747736
244,bad flu,0.55737245
245,free flu jab,0.55681634
246,do i have flu or cold,0.55658925
247,flu symptoms nhs,0.55627996
248,child with flu,0.5562737
249,is flu contagious,0.5561913
250,pregnancy and flu,0.5560803
251,flu death,0.55603266
252,how to stop a cough,0.5560204
253,how to get rid of nausea,0.5551399
254,when is flu season,0.5547867
255,cold and flu tablets,0.55267
256,free flu vaccine,0.55266964
257,flu 2017 uk,0.55249643
258,swin flu,0.5515981
259,do i have a cold or flu,0.5513392
260,flu diarrhea,0.55114496
261,flu symptoms 2017,0.55098236
262,flu vaccine ingredients,0.5506264
263,the flu jab,0.550304
264,flu symptoms uk,0.5501894
265,reaction to flu jab,0.5500212
266,nasal flu vaccine,0.5493813
267,how to get rid of runny nose,0.5493618
268,free flu jabs,0.5493169
269,flu jab asda,0.5490255
270,flu medicine uk,0.54878813
271,is the flu contagious,0.5483165
272,how to get rid of chesty cough,0.5481737
273,flu camp,0.5478734
274,get rid of a cold fast,0.54769886
275,fever flu,0.54697895
276,australian flu,0.54657876
277,flu sore throat,0.5459804
278,where can i get flu jab,0.5457974
279,how long do flu symptoms last,0.54547787
280,flu outbreaks,0.5448495
281,child flu spray,0.5433548
282,get sick,0.54330885
283,get rid of fever,0.54327995
284,symptoms of influenza,0.5432738
285,flu vaccine for children,0.542989
286,how to help a cough,0.542866
287,get rid of cold,0.5425918
288,how to get rid of stuffy nose,0.5412038
289,cdc flu,0.5410553
290,how to get rid of a tickly cough,0.54067063
291,flu test,0.540642
292,flu vaccine for child,0.54057693
293,how to get rid of a runny nose,0.5403234
294,flu season uk,0.5400257
295,flu symptoms in children,0.53981614
296,flu symptoms 2016,0.53962934
297,what to eat when sick,0.5393678
298,flu virus symptoms,0.539073
299,what is the flu vaccine,0.53869694
300,winter flu,0.53868484
301,hay fever remedies,0.5383551
302,flu vaccine nhs,0.5379379
303,influenza virus,0.5370289
304,how to get rid of cold sores,0.5368392
305,swine flu vaccination,0.5367978
306,how to get rid of a dry cough,0.53561664
307,book flu vaccine,0.5353575
308,how to get rid of a chesty cough,0.53450555
309,seasonal flu vaccine,0.5342242
310,swine flu antiviral,0.534222
311,flu vaccine uk,0.53413653
312,winter flu jab,0.53366506
313,man flu meme,0.5332456
314,influenza b,0.53301007
315,flu temperature,0.53237647
316,should i get a flu shot,0.53221357
317,influenza pandemic,0.5320509
318,best thing for a cold,0.5317384
319,should i have the flu jab,0.53144956
320,the flu shot,0.5312607
321,stop a cold,0.5312492
322,flu in early pregnancy,0.53109676
323,flu jab for children,0.5309789
324,cure a cold,0.5309423
325,fever remedies,0.53090715
326,flu vaccination side effects,0.53063375
327,influenza a,0.53054345
328,flu deaths 2019,0.530433
329,summer flu,0.53040075
330,early flu symptoms,0.53017265
331,foods to eat when sick,0.53017235
332,how to get rid of strep throat,0.52985257
333,incubation period for flu,0.52928895
334,flu children,0.52913666
335,flu mexico,0.5279803
336,flu symptoms child,0.5278402
337,pregnant flu,0.52783465
338,get rid of cold fast,0.52781856
339,best remedy for cough,0.5276492
340,flu map,0.5269896
341,remedies for cough,0.52681804
342,stop feeling sick,0.5260845
343,aussie flu,0.5259216
344,is it flu or cold,0.52563053
345,how to get rid of hayfever,0.52560383
346,effects of flu jab,0.5254364
347,how to get rid of a cold sore,0.52539754
348,google flu,0.52528083
349,flu vaccine 2019,0.52514434
350,how to get rid of a stuffy nose,0.5248464
351,flu jab 2021,0.52431756
352,flu deaths uk,0.5241029
353,aussie flu nhs,0.52372575
354,best remedy for cold,0.5237165
355,flu jab nhs,0.5232717
356,flu jab for child,0.5230106
357,current flu virus,0.52282596
358,how to get rid of cold sores fast,0.5227423
359,how to ease a cough,0.5225638
360,how to get a fever,0.52226317
361,can you take cold and flu when pregnant,0.52223414
362,how long are you contagious with the flu,0.5222188
363,flu symptoms 2022,0.52114403
364,flu vaccine side effects,0.5209318
365,how to clear mucus,0.5202209
366,cold or flu quiz,0.5197216
367,nhs direct flu,0.5191399
368,how to get rid of a headache,0.5190364
369,how to break a fever,0.51870644
370,flu contagious period,0.51840204
371,flu jab uk,0.5182145
372,asian flu,0.5166599
373,how to stop coughing fit,0.51660156
374,flu vaccine near me,0.51657224
375,how to get rid of a migraine,0.5165539
376,how to get rid of migraines,0.5165515
377,how to treat a sinus infection,0.5164861
378,freshers flu,0.51583755
379,flu vaccine pharmacy,0.51510936
380,book flu jab,0.51448274
381,stop sickness,0.51432586
382,intestinal flu,0.5141039
383,is the flu jab safe,0.51384246
384,how many people die from flu,0.5134704
385,nurofen cold and flu,0.51336694
386,flu deaths 2020,0.5130621
387,flu jab 2018,0.5130559
388,flu shot reactions,0.51267844
389,how to get rid of headaches,0.51232404
390,stomach flu,0.51227224
391,flu jab 2020,0.5122063
392,how long is the flu contagious,0.51173747
393,aussie flu uk,0.5116396
394,pandemic flu,0.5114429
395,how to stop nausea,0.51136386
396,tummy flu,0.5112281
397,baby flu,0.51101327
398,the spanish flu,0.5107094
399,how to get rid of sore throat,0.5100539
400,remedy for cough,0.5099995
401,flu or covid,0.50968015
402,when is flu contagious,0.5093533
403,how to stop a runny nose,0.5091668
404,how to stop runny nose,0.50906205
405,flu vaccine when pregnant,0.50879335
406,home remedy for cough,0.50851184
407,what is man flu,0.50826055
408,flu incubation period,0.507401
409,spanish flu pandemic,0.5071308
410,home remedies for cough,0.5070212
411,child flu vaccine,0.506814
412,cold and flu symptoms,0.5065775
413,flu game 12,0.5064658
414,flu jab while pregnant,0.50643575
415,how to get rid of a cold sore fast,0.50615025
416,how to get rid of a headache fast,0.50584716
417,how to get rid of a virus,0.5057322
418,cure for cough,0.5053555
419,how to treat diarrhea,0.50512993
420,remedies for cold,0.5051255
421,how to get rid of a sore throat,0.5050514
422,side effects of flu vaccine,0.50486887
423,how to stop diarrhea,0.5048153
424,how to get rid of headache,0.50474197
425,get over a cold,0.5042755
426,australian flu nhs,0.5031213
427,flu jab 2017,0.5028379
428,how to cure diarrhea,0.5025482
429,how to cure,0.501855
430,flu jab 2016,0.50159585
431,get rid of cough,0.5011395
432,flu vaccine in pregnancy,0.50058025
433,swine influenza,0.49907
434,flu like virus,0.49878538
435,pregnancy flu,0.49842826
436,flu vaccine baby,0.4979326
437,flu vaccine 2018,0.49776417
438,cold flu symptoms,0.49716854
439,la influenza,0.49706534
440,how long is flu contagious,0.4970226
441,flu jab near me,0.49693525
442,symptoms of australian flu,0.4967863
443,baby flu jab,0.49675813
444,benylin 4 flu tablets,0.49659532
445,flu vaccine for pregnant,0.49649286
446,latest flu virus,0.49648178
447,get a cold,0.49647593
448,fastest way to get rid of a cold sore,0.49644133
449,flu vs coronavirus,0.49539673
450,remedy for cold,0.49523464
451,flu like symptoms,0.49474847
452,distributing vaccines and treatments for covid-19 and flu,0.4946211
453,flu vaccine children,0.49460268
454,how to get rid of a sore throat fast,0.49447367
455,hay fever cures,0.49418482
456,home remedies for cold,0.49384218
457,flu jab cost,0.49383962
458,hay fever relief,0.49358034
459,sainsburys flu jab,0.49356055
460,effects of swine flu,0.49267727
461,how to get rid of a chest infection,0.49256745
462,flu jab when pregnant,0.49252346
463,flu deaths 2020 uk,0.49239635
464,flu like,0.4919592
465,how to stop tickly cough,0.4918179
466,how to stop a tickly cough,0.49164763
467,australian flu symptoms,0.4916096
468,lemsip cold and flu capsules,0.49157834
469,spanish flu,0.49131548
470,eat when sick,0.49092144
471,get rid of a cough,0.4909168
472,how to stop a sore throat,0.49087033
473,how to clear sinuses,0.49074334
474,flu b symptoms,0.49052584
475,flu vaccine 2020,0.49039397
476,symptoms of aussie flu,0.4899729
477,how to stop sneezing,0.489696
478,flu jab vaccine,0.48960456
479,child flu,0.48933414
480,cough remedies,0.48906916
481,how to sleep with a cold,0.4889706
482,booking flu jab,0.48828536
483,lloyds flu jab,0.48824996
484,private flu jab,0.4880168
485,about swine flu,0.4873605
486,spanish influenza,0.48734632
487,influenza b virus,0.48707438
488,be sick,0.48706162
489,hay fever remedy,0.48691586
490,flu vaccine 2017,0.48673087
491,swine flu vaccine,0.48623842
492,cold or flu,0.48569348
493,flu jab child,0.48467574
494,aussie flu symptoms,0.48464084
495,cold or flu nhs,0.4846185
496,how to get rid of gingivitis,0.48442107
497,sinus infection remedies,0.48424
498,how to get rid of yeast infection,0.483997
499,natural remedies for cough,0.48278135
500,hay fever cure,0.4825529
501,hay fever treatments,0.48242414
502,flu vaccine pregnant,0.4822332
503,how to treat strep throat,0.4821905
504,flu or cold or covid,0.4817353
505,treat a cold,0.48170906
506,flu vaccine pregnancy,0.481654
507,flu vaccine 2016,0.48130876
508,how did spanish flu end,0.48124474
509,swine flu update,0.4810882
510,how to get rid of a toothache,0.48067915
511,flu jab side effects,0.48067516
512,swine flu,0.4806111
513,how do you catch pneumonia,0.48036718
514,natural remedy for cough,0.4802792
515,morning sickness remedies,0.4799666
516,how to cure sore throat,0.4796676
517,how to stop a runny nose instantly,0.4795852
518,cold or flu symptoms,0.4795677
519,how to clear a stuffy nose,0.4794932
520,how to get rid of bad breath,0.4794823
521,how to get rid of phlegm,0.47928262
522,australian flu symptoms nhs,0.4791781
523,pharmacy flu jab,0.47896057
524,child nasal flu vaccine,0.4789135
525,stomach flu contagious,0.47885683
526,spanish flu epidemic,0.47853258
527,h1n1 flu,0.47849143
528,common cold remedies,0.47807908
529,how to stop feeling nauseous,0.47780603
530,cold flu or covid,0.47706437
531,how to cure a headache,0.4768764
532,flu jab in pregnancy,0.47672385
533,get rid of mucus,0.47661865
534,uk flu deaths 2019,0.47632754
535,stomach flu nhs,0.47573245
