,Query,Cosine Similarity
0,flu vaccine nhs,0.99999994
1,flu vaccine uk,0.9476116
2,flu vaccine,0.9006762
3,flu vaccine 2018 uk,0.88684154
4,flu vaccine 2017 uk,0.8799572
5,flu vaccines,0.8777667
6,flu vaccination,0.8491019
7,influenza vaccine,0.84153557
8,the flu vaccine,0.8386342
9,flu nhs,0.83166516
10,flu jab nhs,0.8269306
11,flu vaccine 2018,0.82632315
12,flu vaccine 2019,0.8258841
13,flu vaccine pharmacy,0.81645364
14,flu vaccinations,0.81614274
15,nhs vaccine,0.81588733
16,flu vaccine 2017,0.81556594
17,what is the flu vaccine,0.8083453
18,flu immunisation,0.80269206
19,free flu vaccine,0.8024072
20,influenza vaccination,0.7999297
21,flu shot,0.79943526
22,flu vaccine 2020,0.7984534
23,flu vaccine 2016,0.7983586
24,flu vaccine for children,0.7969392
25,flu vaccine for child,0.7911828
26,flu jab vaccine,0.7908869
27,nasal flu vaccine,0.7832086
28,australian flu nhs,0.78153366
29,child flu vaccine,0.78019786
30,flu jab uk,0.7797756
31,flu vaccine near me,0.77868384
32,flu vaccine children,0.7783671
33,flu vaccine pregnant,0.7771251
34,flu vaccine pregnancy,0.77570546
35,book flu vaccine,0.77078664
36,live flu vaccine,0.7681006
37,aussie flu nhs,0.766747
38,seasonal flu vaccine,0.76583374
39,swine flu vaccine,0.76211536
40,flu medicine uk,0.76029533
41,flu vaccine in pregnancy,0.75568056
42,flu vaccine baby,0.75476635
43,flu vaccine for pregnant,0.7515019
44,nhs direct flu,0.7513833
45,flu injection,0.750234
46,flu vaccine when pregnant,0.74675775
47,flu vaccine ingredients,0.7398807
48,nhs covid vaccine,0.7344724
49,flu 2018 uk,0.7312361
50,the flu shot,0.7311413
51,flu in uk,0.7308197
52,uk vaccine,0.72734624
53,swine flu vaccination,0.72483516
54,uk flu,0.72196937
55,flu 2017 uk,0.7216356
56,nhs covid vaccination,0.7156047
57,nhs vaccine booking,0.71326435
58,flu injections,0.71221095
59,boots flu vaccine,0.7097254
60,child nasal flu vaccine,0.7093048
61,flu jab 2021,0.7063666
62,best flu medicine uk,0.7063086
63,free flu shots,0.7050036
64,vaccine,0.7031838
65,vaccinations uk,0.70280313
66,swine flu nhs,0.7016534
67,the flu jab,0.6983549
68,flu jab 2018,0.69712883
69,flu jab,0.6962269
70,flu jab 2020,0.6944987
71,bird flu vaccine,0.6937232
72,flu season uk,0.6906909
73,flu jabs,0.6891466
74,nhs child flu,0.6890956
75,flu jab 2017,0.68824637
76,get flu jab,0.682117
77,cure flu,0.68172574
78,flu remedies uk,0.6809168
79,flu clinic,0.68054724
80,treat flu,0.6803395
81,flu symptoms nhs,0.6801382
82,cold or flu nhs,0.67867094
83,flu medicine,0.6778297
84,influenza,0.67781126
85,flu mask,0.67781115
86,flu prevention,0.67541623
87,flu jab 2016,0.6726779
88,aussie flu uk,0.6688287
89,book a flu jab,0.6685184
90,free flu jab,0.66617095
91,flu jab for children,0.66553867
92,treating flu,0.6648524
93,winter flu jab,0.6644659
94,stomach flu nhs,0.663809
95,flu deaths 2020 uk,0.6631731
96,flu,0.66139317
97,free flu jabs,0.66056085
98,sainsburys flu jab,0.66042566
99,flu 2018,0.6598307
100,flu london,0.6583135
101,ebola vaccine,0.65763974
102,flu relief,0.6575978
103,flu virus,0.65687144
104,flu deaths uk,0.6564547
105,distributing vaccines and treatments for covid-19 and flu,0.6561991
106,flu jab for child,0.6559181
107,pharmacy flu jab,0.65573466
108,flu vaccine side effects,0.6545907
109,vaccination,0.6545417
110,flu outbreak,0.65370524
111,flu infection,0.65252805
112,flu cold,0.65027976
113,flu treatment,0.6490935
114,flu shot reactions,0.64827466
115,booking flu jab,0.64826894
116,covid vaccine uk,0.6476635
117,oxford vaccine,0.6459845
118,flu remedy,0.6433307
119,covid 19 vaccine,0.6393492
120,swine flu uk,0.63769925
121,covid19 vaccine,0.6360866
122,cdc flu,0.635887
123,private flu jab,0.6341599
124,medicine for flu,0.6339959
125,australian flu,0.63394535
126,flu jab child,0.6338875
127,flu vaccination side effects,0.6334705
128,uk flu deaths 2019,0.6333375
129,flu epidemic,0.6332805
130,flu jab with a cold,0.63292754
131,side effects of flu vaccine,0.6327237
132,best flu medicine,0.6320982
133,pneumonia vaccine,0.6318558
134,cure for flu,0.63158643
135,book flu jab,0.6311496
136,latest flu virus,0.63014746
137,flu advice,0.6287472
138,flu recovery,0.62775356
139,where can i get flu jab,0.6259668
140,influenza treatment,0.62546146
141,get rid of flu,0.62536025
142,baby flu jab,0.6251023
143,influenza b,0.6245569
144,new flu,0.6244772
145,influenza virus,0.6239847
146,australian flu symptoms nhs,0.62373734
147,book a vaccine,0.62311304
148,should i get a flu shot,0.622245
149,flu antibiotics,0.62189794
150,flu jab asda,0.6215972
151,flu wiki,0.62064385
152,is the flu jab safe,0.62063766
153,flu jab cost,0.61899674
154,flu bug,0.6171888
155,flu statistics,0.6171762
156,common flu,0.61642087
157,flu tracker,0.6162739
158,flu jab near me,0.61588407
159,flu incubation,0.6150718
160,latest flu,0.61495847
161,flu spray,0.6139282
162,vaccine booking,0.612119
163,tesco pharmacy flu jab,0.61206925
164,flu after flu jab,0.61206436
165,flu tablets,0.6102785
166,flu contagious,0.60988903
167,best thing for flu,0.6098087
168,vaccinated,0.6098074
169,influenza pandemic,0.6096829
170,what medicine for flu,0.6086832
171,cheerleader flu shot,0.6074904
172,best medicine for flu,0.6073909
173,viral flu,0.60694975
174,flu update,0.6066649
175,vaccine a,0.6065946
176,flu game,0.6065031
177,swine flu jab,0.60612965
178,coronavirus uk vaccine,0.604187
179,lloyds flu jab,0.6036626
180,flu symptoms uk,0.6036049
181,flu test,0.6029295
182,type a flu,0.60184413
183,flu jab pregnancy,0.6014699
184,tesco flu jab,0.6010246
185,have the flu,0.60083413
186,flu cough,0.60063076
187,flu vaccine child side effects,0.6002298
188,should i have the flu jab,0.5991887
189,man flu,0.598897
190,flu a,0.5988677
191,best cure for flu,0.59873766
192,google flu,0.5984543
193,aussie flu symptoms nhs,0.5984206
194,vaccinations,0.597309
195,current flu virus,0.597193
196,flu remedies,0.5968556
197,vaccine schedule,0.5968496
198,flu jab in pregnancy,0.5967093
199,24 hour flu,0.5965407
200,what is flu,0.59639275
201,flu trends,0.59591144
202,flu jab pregnant,0.5956639
203,antiviral for flu,0.59564006
204,flu deaths 2020,0.59446305
205,what is a vaccine,0.59406686
206,severe flu,0.59384465
207,what is the flu,0.59365225
208,lloyds pharmacy flu jab,0.59344196
209,flu in adults,0.5933999
210,antivirals for flu,0.59333956
211,aussie flu,0.59261703
212,flu definition,0.59249866
213,flu season,0.5924543
214,seasonal flu,0.59242463
215,flu jab reactions,0.59228545
216,covid vaccine,0.59146225
217,food for flu,0.59100956
218,flu deaths 2019,0.5894232
219,what to take for flu,0.58887124
220,vaccine news,0.5887953
221,flu deaths,0.588429
222,flu map,0.5881523
223,antibiotics for flu,0.58792853
224,flu children,0.58779514
225,medication for flu,0.58766294
226,influenza b virus,0.5873141
227,flu jab while pregnant,0.58622503
228,the vaccine book,0.5859152
229,smallpox vaccine,0.58586407
230,flu complications,0.5857773
231,rsv vaccine,0.5853532
232,flu nasal spray,0.5849441
233,aids vaccine,0.5840415
234,is flu contagious,0.58389574
235,recover from flu,0.5835333
236,flu symptom checker,0.58350134
237,influenza a,0.58324015
238,bird flu uk,0.5824718
239,flu jab when pregnant,0.5820336
240,pfizer covid vaccine,0.5818931
241,swine influenza,0.58181083
242,flu outbreaks,0.5815605
243,flu going around,0.5813276
244,the flu,0.58094335
245,winter flu,0.5807812
246,flu in children,0.57978976
247,treatment for flu,0.5797539
248,vaccine pregnancy,0.57879037
249,vaccine calculator,0.57840437
250,flu contagious period,0.57800126
251,flu like virus,0.5772295
252,how to cure flu,0.5765399
253,reaction to flu jab,0.5763275
254,yellow fever vaccine,0.5756993
255,nasal flu,0.57491744
256,what is influenza,0.5749029
257,cancer vaccine,0.5721517
258,swine flu cdc,0.5719434
259,best flu remedies,0.5718502
260,recovering from flu,0.57137895
261,how to prevent flu,0.57109034
262,cold flu medicine,0.5707376
263,flu temperature,0.5706403
264,when is flu season,0.569913
265,vaccination schedule,0.56953585
266,flu duration,0.56948125
267,types of flu,0.5685266
268,superdrug flu jab,0.56850064
269,vaccine ingredients,0.5684996
270,flu jokes,0.5684589
271,child flu spray,0.56823933
272,is the flu contagious,0.56623983
273,pregnant flu,0.565304
274,best way to get rid of flu,0.56446826
275,how to cure the flu,0.5641509
276,meningitis vaccine,0.5638008
277,flu game 12,0.5612846
278,antiviral drugs for flu,0.56073564
279,recovery from flu,0.5598922
280,how to treat flu,0.5596939
281,tuberculosis vaccine,0.5583461
282,fever flu,0.5577797
283,child with flu,0.55751956
284,malaria vaccine,0.55750555
285,swine flu vaccine side effects,0.5570164
286,vaccine deaths,0.5568167
287,flu in pregnancy,0.55664974
288,flu death,0.5562558
289,hiv vaccine,0.5561849
290,man flu meme,0.55570865
291,hepatitis vaccine,0.555563
292,fever nhs,0.5555191
293,effects of flu jab,0.55543095
294,flu meme,0.55524623
295,astrazeneca vaccine,0.55468845
296,whooping cough vaccine,0.5544749
297,flu pain,0.55445546
298,pfizer vaccine,0.5544316
299,how many people die of flu each year uk,0.5542567
300,flu symptons,0.55373776
301,flu in babies,0.5532178
302,flu camp,0.5531254
303,covid vaccine near me,0.5530488
304,bird flu wales,0.5529007
305,cold vs flu,0.5520309
306,immunization,0.5513498
307,booster vaccine,0.5500705
308,when is flu contagious,0.54998285
309,swine flu virus,0.5497874
310,swine flu 2016,0.5496349
311,ebola uk,0.5494122
312,avian influenza,0.54937226
313,pregnancy flu,0.54829615
314,pandemic flu,0.5480193
315,swin flu,0.54740185
316,how to treat the flu,0.5459676
317,remedies for flu,0.54549533
318,flu effects,0.5452825
319,childhood vaccinations,0.5450135
320,tb vaccine,0.54466754
321,swine flu cases,0.54419255
322,influenza type a,0.5438931
323,flu while pregnant,0.5434756
324,flu during pregnancy,0.5431391
325,best remedies for flu,0.5426886
326,flu last,0.5422723
327,flu when pregnant,0.54206324
328,swine flu,0.542025
329,swine flu treatment,0.5408202
330,nhs pneumonia,0.539647
331,having the flu,0.5386437
332,book covid vaccine,0.5385084
333,mild flu,0.5383858
334,flu or covid,0.53813475
335,how to get rid of flu,0.5379379
336,how to get rid of a flu,0.5379149
337,la influenza,0.5378769
338,dtp vaccine,0.53752947
339,google flu trends,0.5374765
340,hay fever injection,0.5367466
341,swine flu spread,0.5365766
342,norovirus vaccine,0.53638625
343,flu incubation period,0.53561854
344,bcg vaccine,0.5352916
345,flu symtoms,0.5351664
346,hbv vaccine,0.5348834
347,chicken pox vaccine,0.5346823
348,hep a vaccine,0.5344824
349,how to get rid of the flu,0.5337814
350,child flu,0.53341305
351,summer flu,0.5333897
352,yellow fever vaccination,0.5332666
353,got flu,0.5332105
354,swine flu update,0.53318346
355,the swine flu,0.5330347
356,covid booster vaccine,0.5330163
357,flu shot side effects,0.5325595
358,smallpox vaccination,0.53249574
359,flu home remedies,0.5324943
360,flu vs coronavirus,0.5323752
361,news flu,0.532333
362,measles vaccine,0.531996
363,rotavirus vaccine,0.5317035
364,flu and cough,0.5310221
365,freshers flu,0.5308165
366,h1n1 influenza,0.5307823
367,difference between a cold and flu,0.53075045
368,bad flu,0.5296308
369,swine flu antiviral,0.5293079
370,coronavirus vaccine,0.52902937
371,nhs covid19,0.52865696
372,boots flu jab 2020,0.52855456
373,what is influenza b,0.5280124
374,immunisations,0.5270319
375,dtap vaccine,0.52683294
376,pregnancy and flu,0.5265415
377,i have flu,0.52543896
378,man flu video,0.5249804
379,flu in early pregnancy,0.524977
380,swine flu outbreak,0.5248536
381,dpt vaccine,0.52441907
382,swine flu pandemic,0.5242717
383,is it flu or cold,0.52391255
384,baby flu,0.5239109
385,chickenpox vaccine,0.5233321
386,stages of flu,0.5231848
387,ipv vaccine,0.5229671
388,flu headache,0.5228367
389,gardasil vaccine,0.52280897
390,flu and pneumonia,0.5221485
391,salk vaccine,0.5216454
392,stomach flu contagious,0.52114224
393,cough after flu,0.5211237
394,flu symptoms 2018,0.52091837
395,hib vaccine,0.5200674
396,tattoo flu,0.5199174
397,how to recover from flu,0.5198811
398,h1n1 flu,0.51981676
399,immunologist,0.51969457
400,side effects of flu shot,0.5194708
401,swine flu latest,0.51916504
402,cough nhs,0.5188578
403,about swine flu,0.5184754
404,meningococcal vaccine,0.51821065
405,flu symptoms 2019,0.51755893
406,hong kong flu,0.51738274
407,tummy flu,0.51725537
408,flu like,0.5168629
409,hpv vaccine,0.5165465
410,avian flu,0.51653194
411,pneumonia shot,0.5164043
412,home remedies for flu,0.51623285
413,flu symptoms 2017,0.51611835
414,hep b vaccine,0.51580346
415,after effects of flu,0.51570606
416,fever injection,0.51561064
417,after the flu,0.5154418
418,small pox vaccine,0.5149575
419,spanish influenza,0.5147668
420,herpes vaccine,0.514127
421,hepatitis a vaccine,0.5131243
422,measles nhs,0.51280046
423,the spanish flu,0.51235217
424,measles vaccination,0.51229477
425,boots flu jabs,0.51206464
426,flu recovery time,0.5118485
427,flu or coronavirus,0.5116832
428,single measles vaccine,0.5115934
429,incubation period for flu,0.5106962
430,how long flu,0.5104704
431,typhoid vaccine,0.5103433
432,hepatitis b vaccine,0.5101504
433,best cold and flu medicine,0.51012665
434,cold or flu quiz,0.50931484
435,flu in toddlers,0.50898397
436,flu sore throat,0.5087207
437,asian flu,0.5086155
438,swine flu game,0.5084095
439,nhs norovirus,0.5083003
440,flu symptoms,0.50774187
441,cold and flu relief,0.5075078
442,signs of flu,0.5070113
443,bird flu virus,0.50700927
444,swine flu news,0.50688285
445,signs of the flu,0.5067955
446,flu signs,0.5064288
447,spanish flu pandemic,0.5062225
448,flu injection side effects,0.5060979
449,swine flu epidemic,0.5055009
450,flu diarrhea,0.50523144
451,how to get over flu,0.50439256
452,boots flu jab,0.5042304
453,cold and flu medicine,0.5032444
454,what is man flu,0.5029887
455,anthrax vaccine,0.50266695
456,do i have flu,0.5025718
457,natural flu remedies,0.5021361
458,nhs covid,0.5020901
459,polio vaccine,0.5020744
460,shingles vaccine,0.5018008
461,influenza symptoms,0.50158644
462,bird flu,0.5014579
463,difference between cold and flu,0.5013381
464,flu symptoms 2016,0.50116646
465,book vaccine,0.5010593
466,intestinal flu,0.5009726
467,flu symptom,0.50096005
468,how to get rid of flu fast,0.5007554
469,swine flu map,0.5003804
470,natural remedies for flu,0.50011265
471,best medicine for cold and flu,0.49971962
472,flu or cold test,0.4994678
473,nhs scarlet fever,0.49889478
474,how long is the flu contagious,0.4988342
475,rabies vaccine,0.49855897
476,flu symptoms 2022,0.49852017
477,do i have the flu,0.49798483
478,how to get over the flu,0.49778074
479,flu or cold or covid,0.4975009
480,have i got flu,0.49685612
481,dog flu,0.49666578
482,how long is flu contagious,0.49639702
483,hpv vaccination,0.49613532
484,hay fever uk,0.49603018
485,h1n1 vaccine,0.49582362
486,moderna vaccine,0.49567413
487,tetanus vaccine,0.49546814
488,symptom of flu,0.4951675
489,flu virus symptoms,0.4944935
490,cervical cancer vaccine,0.49424845
491,immunity,0.4939535
492,cold and flu,0.49370056
493,mmr vaccine,0.49352553
494,shingles vaccination,0.49348634
495,health nhs,0.49341
496,flu jab symptoms,0.4926948
497,nhs,0.49184015
498,spanish flu epidemic,0.49109018
499,avian flu latest,0.49108064
500,how many people die from flu,0.4910341
501,puppy vaccinations,0.49024707
502,nhs hayfever,0.48996115
503,vaccines and autism,0.48980254
504,flu aches,0.48962346
505,the mmr vaccine,0.48951957
506,symptoms of flu,0.48906767
507,chicken pox vaccination,0.48904818
508,dog vaccinations,0.48896462
509,flu jab side effects 2018,0.48838362
