,Query,Cosine Similarity
0,how to get rid of flu,0.9999999
1,how to get rid of the flu,0.99290437
2,how to get rid of a flu,0.9893109
3,best way to get rid of flu,0.963714
4,how to get rid of flu fast,0.9266418
5,how to treat flu,0.92041767
6,how to treat the flu,0.90904427
7,get rid of flu,0.9020763
8,how to cure the flu,0.8991306
9,how to cure flu,0.89891326
10,how to get over the flu,0.88030875
11,how to prevent flu,0.8796107
12,remedies for flu,0.8746487
13,how to get over flu,0.8718904
14,best remedies for flu,0.8602185
15,flu remedies,0.8550273
16,how to recover from flu,0.8441776
17,natural remedies for flu,0.8324941
18,best cure for flu,0.8315887
19,cure for flu,0.82779694
20,home remedies for flu,0.82563186
21,flu remedy,0.81699824
22,cure flu,0.8125584
23,treat flu,0.81132966
24,treating flu,0.80472124
25,what to take for flu,0.8037307
26,best flu remedies,0.8027251
27,flu home remedies,0.8025842
28,best thing for flu,0.79640853
29,natural flu remedies,0.7924501
30,flu advice,0.7854215
31,treatment for flu,0.78231716
32,flu treatment,0.77629375
33,flu remedies uk,0.7645365
34,recover from flu,0.762398
35,best medicine for flu,0.75780284
36,recovery from flu,0.7566501
37,flu recovery,0.75550044
38,flu prevention,0.7545935
39,flu relief,0.7544444
40,recovering from flu,0.7543688
41,cold and flu remedies,0.7534789
42,how to get rid of a cold,0.74995184
43,cold flu remedies,0.74505275
44,what to eat when you have the flu,0.7448139
45,medicine for flu,0.7370516
46,how do you get rid of a cold,0.7334899
47,ways to get rid of a cold,0.7324753
48,what medicine for flu,0.7304337
49,best ways to get rid of a cold,0.7301234
50,best way to get rid of a cold,0.72735715
51,food for flu,0.71544766
52,have the flu,0.7093078
53,influenza treatment,0.70240974
54,cold and flu relief,0.6919966
55,quickest way to get rid of a cold,0.68950295
56,medication for flu,0.6885123
57,best flu medicine,0.68286186
58,fastest way to get rid of a cold,0.6826811
59,how to get rid of cold,0.68172896
60,flu medicine,0.6758398
61,flu,0.674104
62,i have flu,0.6732457
63,flu going around,0.67323124
64,flu immunisation,0.67208827
