,Query,Cosine Similarity
0,flu nhs,1.0
1,australian flu nhs,0.9131323
2,aussie flu nhs,0.9082565
3,nhs direct flu,0.8875387
4,flu medicine uk,0.86731166
5,flu symptoms nhs,0.84013337
6,flu in uk,0.8387614
7,flu vaccine nhs,0.8316651
8,flu clinic,0.8316153
9,uk flu,0.83133143
10,flu jab nhs,0.83114624
11,cold or flu nhs,0.8246446
12,flu 2018 uk,0.82462066
13,flu 2017 uk,0.8168398
14,stomach flu nhs,0.8148585
15,flu,0.8076228
16,nhs child flu,0.80363137
17,swine flu nhs,0.80011034
18,flu season uk,0.7958262
19,flu london,0.78140175
20,best flu medicine uk,0.7803619
21,aussie flu uk,0.7687684
22,flu 2018,0.76397413
23,flu medicine,0.76381797
24,flu wiki,0.7624545
25,flu infection,0.7602178
26,influenza,0.75933206
27,flu jab uk,0.7584435
28,australian flu symptoms nhs,0.7582562
29,treat flu,0.75455344
30,flu vaccine uk,0.74960136
31,flu advice,0.7464599
32,flu cold,0.74363554
33,severe flu,0.74271536
34,flu outbreak,0.7418164
35,treating flu,0.7417247
36,flu treatment,0.7401197
37,flu deaths uk,0.7396481
38,cure flu,0.739637
39,have the flu,0.73832196
40,aussie flu symptoms nhs,0.7359157
41,flu relief,0.735598
42,flu update,0.7348708
43,google flu,0.7331079
44,flu symptoms uk,0.73204505
45,flu remedies uk,0.7313254
46,flu prevention,0.73093987
47,flu going around,0.72884303
48,latest flu,0.72835076
49,cdc flu,0.7266134
50,flu recovery,0.7255862
51,australian flu,0.7238596
52,flu statistics,0.72302413
53,the flu,0.72247684
54,new flu,0.7211727
55,aussie flu,0.7192492
56,flu injection,0.7178262
57,flu deaths 2020 uk,0.71758187
58,flu tracker,0.71644026
59,24 hour flu,0.7159533
60,flu season,0.7152214
61,flu virus,0.7122022
62,flu test,0.71207166
63,medicine for flu,0.70949835
64,man flu,0.70881057
65,flu epidemic,0.70880234
66,flu jokes,0.70847
67,got flu,0.7071353
68,flu trends,0.7052833
69,flu remedy,0.7046647
70,flu bug,0.70414686
71,flu complications,0.703315
72,flu antibiotics,0.7027944
73,get rid of flu,0.7027644
74,fever nhs,0.702502
75,influenza pandemic,0.70231783
76,flu game,0.7021344
77,flu a,0.7014763
78,flu immunisation,0.70014644
79,common flu,0.6987661
80,flu vaccine,0.6977747
81,uk flu deaths 2019,0.69759685
82,flu tablets,0.6973989
83,swine flu uk,0.6963601
84,bad flu,0.69629234
85,best flu medicine,0.6959114
86,flu vaccine 2018 uk,0.69289076
87,flu vaccines,0.6924614
88,cure for flu,0.6924243
89,flu shot,0.69222236
90,type a flu,0.69212544
91,flu outbreaks,0.69103086
92,flu cough,0.691008
93,flu vaccine 2017 uk,0.68956244
94,flu in adults,0.68938386
95,having the flu,0.68889296
96,flu injections,0.6870804
97,fever flu,0.68694127
98,influenza treatment,0.6866294
99,flu deaths,0.6853234
100,recovering from flu,0.68488437
101,nhs pneumonia,0.68319017
102,mild flu,0.6818299
103,flu children,0.6814343
104,flu mask,0.678885
105,viral flu,0.67875695
106,flu vaccination,0.6786905
107,flu jab 2018,0.6782832
108,recover from flu,0.67750645
109,flu jab 2021,0.6766713
110,the flu jab,0.6766477
111,swin flu,0.6756826
112,best thing for flu,0.67522967
113,best medicine for flu,0.6751093
114,flu pain,0.674678
115,flu jab,0.67333484
116,get flu jab,0.6732544
117,influenza virus,0.67247844
118,seasonal flu,0.6719636
119,what is the flu,0.6716538
120,flu jab 2017,0.6710902
121,flu duration,0.67060184
122,flu jabs,0.67058504
123,recovery from flu,0.6700145
124,flu in children,0.6697549
125,flu incubation,0.66922176
126,i have flu,0.6685699
127,flu jab 2016,0.66826415
128,what is flu,0.6661011
129,what medicine for flu,0.6644872
130,news flu,0.6644801
131,flu death,0.6639207
132,flu deaths 2019,0.6637877
133,flu last,0.663744
134,flu symptom checker,0.6617986
135,flu map,0.6617646
136,treatment for flu,0.6610695
137,child with flu,0.6607567
138,the flu vaccine,0.6597943
139,flu camp,0.6597142
140,flu contagious,0.65950185
141,flu vaccinations,0.65829813
142,best cure for flu,0.65800035
143,medication for flu,0.6576731
144,flu definition,0.6576221
145,flu jab asda,0.65756273
146,flu jab 2020,0.6570771
147,pandemic flu,0.6555714
148,influenza b,0.6548674
149,book a flu jab,0.6542068
150,winter flu,0.65409756
151,flu game 12,0.6536198
152,antibiotics for flu,0.65335166
153,flu signs,0.6532117
154,flu like,0.65271676
155,pregnant flu,0.6523195
156,flu effects,0.65212345
157,google flu trends,0.6520549
158,tummy flu,0.65179545
159,flu spray,0.6514849
160,flu meme,0.651127
161,influenza a,0.6507858
162,nasal flu,0.6500606
163,have i got flu,0.6493459
164,sainsburys flu jab,0.6481118
165,influenza vaccine,0.64801526
166,flu deaths 2020,0.6472909
167,flu aches,0.6470643
168,flu remedies,0.6463607
169,flu symtoms,0.64625144
170,flu and pneumonia,0.64504176
171,types of flu,0.64468074
172,latest flu virus,0.644191
173,flu diarrhea,0.6434723
174,flu or covid,0.6431333
175,flu symptons,0.64178586
176,flu in babies,0.6406104
177,flu like virus,0.6384799
178,signs of flu,0.63745284
179,flu and cough,0.63681734
180,health nhs,0.6357757
181,food for flu,0.63566315
182,pregnancy and flu,0.63502884
183,nhs,0.6348818
184,influenza vaccination,0.6336823
185,bird flu uk,0.6334529
186,signs of the flu,0.63314384
187,free flu shots,0.6330668
188,do i have the flu,0.6328861
189,do i have flu,0.63277304
190,booking flu jab,0.63230544
191,flu symptoms 2019,0.63219625
192,flu vaccine 2019,0.6309784
193,free flu jab,0.6305842
194,baby flu,0.6299082
195,flu symptoms,0.6298752
196,the flu symptoms,0.6294433
197,man flu meme,0.6288384
198,pregnancy flu,0.62841207
199,private flu jab,0.6282517
200,is it flu or cold,0.62795526
201,child flu,0.6270697
202,after the flu,0.6270466
203,cold flu medicine,0.6269332
204,stages of flu,0.62663615
205,the flu shot,0.6256838
206,free flu jabs,0.6254709
207,flu vaccine pharmacy,0.6252257
208,flu symptoms 2018,0.62474084
209,swine influenza,0.6246013
210,flu and diarrhea,0.6241018
211,how to prevent flu,0.6227646
212,lloyds flu jab,0.62264884
213,hospital nhs,0.62241495
214,swine flu cdc,0.62234724
215,flu symptoms 2017,0.6222922
216,nhs covid19,0.6216797
217,flu vaccine 2018,0.621655
218,pharmacy flu jab,0.6216385
219,flu symptom,0.62069666
220,cold vs flu,0.6206863
221,flu headache,0.61999434
222,flu temperature,0.6194626
223,when is flu season,0.6191759
224,what is influenza,0.6191736
225,cold and flu,0.61901736
226,swine flu,0.61841184
227,flu in pregnancy,0.6172809
228,freshers flu,0.61717135
229,book flu jab,0.6169175
230,bird flu wales,0.61677825
231,free flu vaccine,0.6161889
232,man flu video,0.61606073
233,intestinal flu,0.61603737
234,nhs scarlet fever,0.6155866
235,flu vaccine 2017,0.6154375
236,ebola uk,0.6148427
237,flu after flu jab,0.6147522
238,stomach flu,0.61448956
239,flu symptoms 2016,0.6138114
240,best way to get rid of flu,0.61322737
241,summer flu,0.61315733
242,winter flu jab,0.6130552
243,i have a flu,0.61174047
244,flu jab near me,0.6116886
245,the swine flu,0.6116766
246,how to cure flu,0.61102945
247,symptom of flu,0.6106682
248,cold or flu,0.61043614
249,nhs hospitals,0.6102673
250,la influenza,0.61019963
251,colds and flu,0.6101899
252,current flu virus,0.61002153
