,Query,Cosine Similarity
0,flu nhs,1.0
1,australian flu nhs,0.9131323
2,aussie flu nhs,0.9082565
3,nhs direct flu,0.8875386
4,flu medicine uk,0.8673117
5,flu symptoms nhs,0.8401334
6,flu in uk,0.8387613
7,flu vaccine nhs,0.83166516
8,flu clinic,0.83161527
9,uk flu,0.8313314
10,flu jab nhs,0.8311461
11,cold or flu nhs,0.82464474
12,flu 2018 uk,0.8246207
13,flu 2017 uk,0.8168397
14,stomach flu nhs,0.8148585
15,flu,0.8076226
16,nhs child flu,0.8036313
17,swine flu nhs,0.8001104
18,flu season uk,0.7958262
19,flu london,0.78140175
20,best flu medicine uk,0.7803618
21,aussie flu uk,0.7687684
22,flu 2018,0.7639739
23,flu medicine,0.7638179
24,flu wiki,0.7624546
25,flu infection,0.7602178
26,influenza,0.7593322
27,flu jab uk,0.7584435
28,australian flu symptoms nhs,0.7582562
29,treat flu,0.75455344
30,flu vaccine uk,0.74960136
31,flu advice,0.7464599
32,flu cold,0.7436355
33,severe flu,0.74271536
34,flu outbreak,0.7418163
35,treating flu,0.74172467
36,flu treatment,0.7401196
37,flu deaths uk,0.73964804
38,cure flu,0.73963696
39,have the flu,0.7383219
40,aussie flu symptoms nhs,0.7359157
41,flu relief,0.73559797
42,flu update,0.7348707
43,google flu,0.7331079
44,flu symptoms uk,0.7320452
45,flu remedies uk,0.7313254
46,flu prevention,0.73093975
47,flu going around,0.7288431
48,latest flu,0.72835064
49,cdc flu,0.7266134
50,flu recovery,0.72558606
51,australian flu,0.7238598
52,flu statistics,0.723024
53,the flu,0.72247684
54,new flu,0.7211727
55,aussie flu,0.71924907
56,flu injection,0.717826
57,flu deaths 2020 uk,0.71758187
58,flu tracker,0.7164402
59,24 hour flu,0.7159531
60,flu season,0.7152214
61,flu virus,0.712202
62,flu test,0.71207154
63,medicine for flu,0.70949835
64,man flu,0.7088106
65,flu epidemic,0.7088022
66,flu jokes,0.70847
67,got flu,0.7071352
68,flu trends,0.7052832
69,flu remedy,0.7046647
70,flu bug,0.70414686
71,flu complications,0.70331496
72,flu antibiotics,0.7027943
73,get rid of flu,0.7027643
74,fever nhs,0.7025022
75,influenza pandemic,0.70231783
76,flu game,0.70213443
77,flu a,0.7014763
78,flu immunisation,0.7001463
79,common flu,0.69876593
80,flu vaccine,0.69777465
81,uk flu deaths 2019,0.69759667
82,flu tablets,0.6973989
83,swine flu uk,0.6963601
84,bad flu,0.6962923
85,best flu medicine,0.6959114
86,flu vaccine 2018 uk,0.69289064
87,flu vaccines,0.6924614
88,cure for flu,0.6924243
89,flu shot,0.69222224
90,type a flu,0.6921253
91,flu outbreaks,0.69103074
92,flu cough,0.69100785
93,flu vaccine 2017 uk,0.68956256
94,flu in adults,0.6893838
95,having the flu,0.688893
96,flu injections,0.6870803
97,fever flu,0.686941
98,influenza treatment,0.6866294
99,flu deaths,0.6853235
100,recovering from flu,0.6848844
101,nhs pneumonia,0.6831903
102,mild flu,0.6818299
103,flu children,0.6814342
104,flu mask,0.678885
105,viral flu,0.67875695
106,flu vaccination,0.67869043
107,flu jab 2018,0.67828315
108,recover from flu,0.67750657
109,flu jab 2021,0.67667127
110,the flu jab,0.6766477
111,swin flu,0.6756824
112,best thing for flu,0.67522967
113,best medicine for flu,0.6751094
114,flu pain,0.67467797
115,flu jab,0.6733347
116,get flu jab,0.6732542
117,influenza virus,0.67247844
118,seasonal flu,0.67196345
119,what is the flu,0.67165375
120,flu jab 2017,0.6710901
121,flu duration,0.6706017
122,flu jabs,0.67058486
123,recovery from flu,0.6700145
124,flu in children,0.66975486
125,flu incubation,0.66922164
126,i have flu,0.6685699
127,flu jab 2016,0.6682641
128,what is flu,0.66610104
129,what medicine for flu,0.66448706
130,news flu,0.66448003
131,flu death,0.66392064
132,flu deaths 2019,0.66378766
133,flu last,0.663744
134,flu symptom checker,0.6617986
135,flu map,0.66176456
136,treatment for flu,0.6610696
137,child with flu,0.6607567
138,the flu vaccine,0.6597941
139,flu camp,0.65971434
140,flu contagious,0.6595018
141,flu vaccinations,0.658298
142,best cure for flu,0.65800023
143,medication for flu,0.65767306
144,flu definition,0.6576219
145,flu jab asda,0.65756285
146,flu jab 2020,0.6570771
147,pandemic flu,0.6555715
148,influenza b,0.6548673
149,book a flu jab,0.65420675
150,winter flu,0.6540976
151,flu game 12,0.6536197
152,antibiotics for flu,0.65335155
153,flu signs,0.6532116
154,flu like,0.6527168
155,pregnant flu,0.65231943
156,flu effects,0.65212333
157,google flu trends,0.652055
158,tummy flu,0.6517954
159,flu spray,0.6514847
160,flu meme,0.651127
161,influenza a,0.6507858
162,nasal flu,0.6500607
163,have i got flu,0.6493459
164,sainsburys flu jab,0.64811194
165,influenza vaccine,0.6480152
166,flu deaths 2020,0.6472908
167,flu aches,0.64706427
168,flu remedies,0.6463605
169,flu symtoms,0.6462513
170,flu and pneumonia,0.6450417
171,types of flu,0.6446807
172,latest flu virus,0.6441909
173,flu diarrhea,0.643472
174,flu or covid,0.6431331
175,flu symptons,0.6417856
176,flu in babies,0.6406102
177,flu like virus,0.63847965
178,signs of flu,0.6374527
179,flu and cough,0.63681734
180,health nhs,0.63577574
181,food for flu,0.63566303
182,pregnancy and flu,0.63502884
183,nhs,0.63488203
184,influenza vaccination,0.63368237
185,bird flu uk,0.63345295
186,signs of the flu,0.6331438
187,free flu shots,0.6330667
188,do i have the flu,0.63288605
189,do i have flu,0.6327729
190,booking flu jab,0.63230526
191,flu symptoms 2019,0.6321962
192,flu vaccine 2019,0.63097835
193,free flu jab,0.6305842
194,baby flu,0.6299081
195,flu symptoms,0.62987506
196,the flu symptoms,0.62944317
197,man flu meme,0.6288383
198,pregnancy flu,0.62841195
199,private flu jab,0.6282518
200,is it flu or cold,0.6279553
201,child flu,0.6270696
202,after the flu,0.6270466
203,cold flu medicine,0.62693316
204,stages of flu,0.6266361
205,the flu shot,0.6256836
206,free flu jabs,0.62547076
207,flu vaccine pharmacy,0.6252256
208,flu symptoms 2018,0.6247407
209,swine influenza,0.6246013
210,flu and diarrhea,0.62410164
211,how to prevent flu,0.62276465
212,lloyds flu jab,0.6226486
213,hospital nhs,0.62241507
214,swine flu cdc,0.6223472
215,flu symptoms 2017,0.6222921
216,nhs covid19,0.6216797
217,flu vaccine 2018,0.6216549
218,pharmacy flu jab,0.6216385
219,flu symptom,0.62069654
220,cold vs flu,0.6206862
221,flu headache,0.61999416
222,flu temperature,0.6194625
223,when is flu season,0.61917585
224,what is influenza,0.6191735
225,cold and flu,0.61901736
226,swine flu,0.61841184
227,flu in pregnancy,0.61728084
228,freshers flu,0.61717117
229,book flu jab,0.6169174
230,bird flu wales,0.6167784
231,free flu vaccine,0.61618876
232,man flu video,0.61606073
233,intestinal flu,0.6160373
234,nhs scarlet fever,0.61558676
235,flu vaccine 2017,0.61543757
236,ebola uk,0.6148427
237,flu after flu jab,0.6147521
238,stomach flu,0.61448956
239,flu symptoms 2016,0.61381125
240,best way to get rid of flu,0.6132273
241,summer flu,0.6131574
242,winter flu jab,0.6130553
243,i have a flu,0.6117406
244,flu jab near me,0.6116885
245,the swine flu,0.6116766
246,how to cure flu,0.6110293
247,symptom of flu,0.610668
248,cold or flu,0.6104361
249,nhs hospitals,0.61026734
250,la influenza,0.6101996
251,colds and flu,0.6101899
252,current flu virus,0.6100213
